,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
0,0,8.0,300.8,14.162449850470473,49.60801430554633,72.3
1,1,8.0,134.5,13.059422529277306,49.949957011693634,460.1
2,2,8.0,143.0,10.864353880183035,49.13839064792946,652.3
3,3,8.0,208.6,10.668248183461383,48.72373981867574,823.6
4,4,8.0,135.7,9.996433923294369,49.22313206158079,1084.6
5,5,8.0,893.9,9.716282544804985,49.29590800851003,1247.3
6,6,8.0,1504.4,11.097264179939568,49.4325650841176,2179.5
7,7,8.0,164.4,16.43222497956709,48.248974330899706,3742.5
8,8,8.0,133.2,18.689366318016507,47.939317946414064,3962.7
9,9,8.0,80.1,18.1351059076398,48.16697251458023,4138.3
10,10,8.0,57.8,17.261692786467023,48.11895502933771,4326.4
11,11,8.0,222.6,16.553074593817403,48.17869516261152,4409.8
12,12,8.0,1777.6,16.766757852273724,48.52767440141394,4666.0
13,13,8.0,114.9,17.44516364136078,50.800875505307694,6518.8
14,14,8.0,142.1,17.687412052179354,51.05639050527666,6680.4
15,15,8.0,139.8,19.145297987291432,50.75085520884694,6909.2
16,16,8.0,78.7,19.16012993318989,51.01286541081791,7070.0
17,17,8.0,65.5,16.781589798172178,51.397981091777055,7333.9
18,18,8.0,216.4,16.625034616075162,51.20221193954724,7428.0
19,19,8.0,2154.7,17.05185321272927,51.21288052929016,7680.1
20,20,8.0,134.5,11.898716907090362,49.588074694905565,9929.3
21,21,8.0,132.3,11.631199739399193,49.296981260581504,10093.3
22,22,8.0,385.7,10.69571392887124,49.35891631985284,10269.2
23,23,8.0,1294.5,11.197239760954847,49.43184914463937,10682.2
