,ind,Zoom_level,Format_RT,Longitude,Latitude
0,0,8.0,0.8000000000465661,12.751805329367413,49.6727568246078
1,1,8.0,4.800000000046566,12.775425868733826,49.6709793350624
2,2,8.0,8.5,12.760045075793554,49.6773779500354
3,3,8.0,14.300000000046566,12.761692958023572,49.66493534131475
4,4,8.0,18.4000000001397,12.764439540165627,49.678444267861956
5,5,8.0,22.4000000001397,12.776524568645865,49.66920178055879
6,6,8.0,26.100000000093132,12.774876686415874,49.67417863929362
7,7,8.0,31.9000000001397,12.784764315072033,49.67133475137569
8,8,8.0,36.60000000009313,12.829808329256918,49.6709793350624
9,9,8.0,41.60000000009313,13.27145853653332,49.672045793189
10,10,8.0,45.5,13.53897570422449,49.6503555353593
11,11,8.0,51.300000000046566,13.669712947130988,49.66742416109632
12,12,8.0,57.199999999953434,13.951512207850364,49.60374250223697
13,13,8.0,61.0,14.105870325399412,49.52928255968163
14,14,8.0,66.69999999995343,14.043248118450151,49.62616502244413
15,15,8.0,72.30000000004657,14.101475861027366,49.555303149088324
16,16,8.0,76.19999999995343,14.04983998264633,49.56314202699029
17,17,8.0,80.10000000009313,14.072361822100703,49.58166573645145
18,18,8.0,85.9000000001397,14.048192100416312,49.52429089002163
19,19,8.0,89.80000000004657,14.08170026843891,49.541047103422166
20,20,8.0,93.69999999995343,14.045994700592207,49.551026728705644
21,21,8.0,97.60000000009313,14.065220775586575,49.544967843686905
22,22,8.0,103.4000000001397,14.104222443169421,49.53213496220673
23,23,8.0,108.69999999995343,14.136631911279956,49.55173952768967
24,24,8.0,112.80000000004657,14.123448518163789,49.58593947377883
25,25,8.0,118.80000000004657,14.113011371913542,49.57703552247906
26,26,8.0,124.30000000004657,14.110264789771485,49.60445453166195
27,27,8.0,128.19999999995343,14.11411007182558,49.61157381950457
28,28,8.0,132.19999999995343,14.141575893246115,49.5898566106902
29,29,8.0,137.80000000004657,14.150914339584324,49.58487112888408
30,30,8.0,141.69999999995343,14.147069057530228,49.56955503470173
31,31,8.0,145.80000000004657,14.15530880395637,49.54746279529303
32,32,8.0,149.69999999995343,14.155857986274322,49.57204851306449
33,33,8.0,153.9000000001397,14.15036482199021,49.57489841936099
34,34,8.0,157.9000000001397,14.142125075564067,49.590568842883684
35,35,8.0,163.5,14.146519539936115,49.5627858207349
36,36,8.0,167.60000000009313,14.156407503868435,49.57489841936099
37,37,8.0,173.5,14.154759286362282,49.58522717399339
38,38,8.0,179.10000000009313,14.15530880395637,49.56563605037293
39,39,8.0,182.80000000004657,14.151463521902276,49.598758222404655
40,40,8.0,188.69999999995343,14.14761823984818,49.60801430554633
41,41,8.0,192.9000000001397,14.14761823984818,49.61086189405663
42,42,8.0,196.60000000009313,14.15366092172638,49.61691260309191
43,43,8.0,201.10000000009313,14.17398536135665,49.61513307354194
44,44,8.0,207.10000000009313,14.171238779214594,49.59484180033758
45,45,8.0,211.10000000009313,14.195958018493073,49.622962560967785
46,46,8.0,215.10000000009313,14.159154086010465,49.618336049617064
47,47,8.0,218.80000000004657,14.159154086010465,49.59840227605191
48,48,8.0,224.4000000001397,14.167393832436634,49.62616502244413
49,49,8.0,230.5,14.177830978686881,49.63292544509896
50,50,8.0,234.19999999995343,14.182774290100769,49.63150220761786
51,51,8.0,238.10000000009313,14.184422507606897,49.604810433836114
52,52,8.0,242.10000000009313,14.187718272066904,49.58558343386774
53,53,8.0,246.0,14.19925378295308,49.6019624918259
54,54,8.0,250.19999999995343,14.217381493311544,49.62153903238463
55,55,8.0,256.0,14.221776292959728,49.63648313972121
56,56,8.0,260.19999999995343,14.187718272066904,49.630434860796825
57,57,8.0,264.0,14.205845982425368,49.6464432586785
58,58,8.0,267.80000000004657,14.207493529379247,49.63968471240683
59,59,8.0,273.5,14.205845982425368,49.65177822186997
60,60,8.0,277.30000000004657,14.214634911169487,49.631858129465535
61,61,8.0,281.30000000004657,14.213536546533584,49.65177822186997
62,62,8.0,286.9000000001397,14.212986693663336,49.63541590205086
63,63,8.0,292.60000000009313,14.215733275805391,49.64822164470879
64,64,8.0,298.5,14.200352818141255,49.64999996577239
65,65,8.0,302.5,14.195958018493073,49.642174823715614
66,66,8.0,306.19999999995343,14.188817307255105,49.6464432586785
67,67,8.0,310.10000000009313,14.188267454384857,49.641107710781014
68,68,8.0,315.0,14.198155418317176,49.642174823715614
69,69,8.0,318.9000000001397,14.177281125816657,49.63541590205086
70,70,8.0,322.60000000009313,14.19540883617512,49.6503555353593
71,71,8.0,328.4000000001397,14.178380161004833,49.64786605953439
72,72,8.0,332.30000000004657,14.17014041457869,49.641463345319664
73,73,8.0,336.30000000004657,14.19156388939716,49.6439533656702
74,74,8.0,340.0,14.19540883617512,49.639329064877444
75,75,8.0,345.60000000009313,14.19046485420896,49.639329064877444
76,76,8.0,349.69999999995343,14.183873325288944,49.64359774931867
77,77,8.0,353.69999999995343,14.164647250294578,49.63826188957548
78,78,8.0,357.5,14.228917004197694,49.642174823715614
79,79,8.0,363.30000000004657,14.172337479126632,49.64359774931867
80,80,8.0,369.19999999995343,14.222874657595655,49.63114650032966
81,81,8.0,373.10000000009313,14.173436179038697,49.630434860796825
82,82,8.0,378.69999999995343,14.193211436351016,49.62403007151584
83,83,8.0,382.5,14.10861690754147,49.61513307354194
84,84,8.0,386.5,13.967442518384724,49.63826188957548
85,85,8.0,390.60000000009313,13.861973697074681,49.651422662675685
86,86,8.0,396.4000000001397,13.766392839696936,49.68022148459333
87,87,8.0,400.19999999995343,13.73453221862819,49.71539708796361
88,88,8.0,404.10000000009313,13.71255956149177,49.71646257188446
89,89,8.0,408.19999999995343,13.618077404026087,49.76899951774076
90,90,8.0,413.9000000001397,13.623021050716085,49.80127433939135
91,91,8.0,419.60000000009313,13.60928814000583,49.795601274746204
92,92,8.0,423.60000000009313,13.574132089753242,49.80871947150113
93,93,8.0,427.4000000001397,13.527989375656292,49.81013730754103
94,94,8.0,433.19999999995343,13.464817986389079,49.82360608452086
95,95,8.0,438.80000000004657,13.347264136598772,49.84451030613699
96,96,8.0,442.60000000009313,13.25882432573513,49.851240378918405
97,97,8.0,446.5,13.170933697189438,49.87815086799644
98,98,8.0,452.19999999995343,13.097325161671952,49.88947719525812
99,99,8.0,456.10000000009313,13.037999054458835,49.92167170691473
100,100,8.0,460.10000000009313,13.098973379178105,49.90929171202652
101,101,8.0,464.0,13.101719961320162,49.907169194420085
102,102,8.0,469.80000000004657,13.053379847399107,49.91601276141174
103,103,8.0,475.30000000004657,13.061070411507323,49.94076612229665
104,104,8.0,479.30000000004657,13.051182782851164,49.930866346596204
105,105,8.0,483.10000000009313,13.053379847399107,49.94889655171948
106,106,8.0,487.10000000009313,13.03854857205295,49.95278457508374
107,107,8.0,491.0,13.061619593825275,49.957732465479836
108,108,8.0,495.0,13.052281482763204,49.958085889878625
109,109,8.0,499.19999999995343,13.048436200709109,49.95455174486438
110,110,8.0,503.19999999995343,13.070958040163482,49.941119563329586
111,111,8.0,507.10000000009313,13.063267811331428,49.96197317136563
112,112,8.0,511.19999999995343,13.035252472316804,49.95349149392191
113,113,8.0,515.1000000000931,13.05502806490526,49.95525863776118
114,114,8.0,520.6999999999534,13.049534900621147,49.942180302411764
115,115,8.0,524.6999999999534,13.061070411507323,49.96197317136563
116,116,8.0,528.6999999999534,13.047886683114994,49.96197317136563
117,117,8.0,532.6000000000931,13.055577247223212,49.929451834393554
118,118,8.0,538.3000000000466,13.062718293737314,49.96197317136563
119,119,8.0,543.9000000001397,13.059971711595258,49.956318849795785
120,120,8.0,550.1000000000931,13.069859340251417,49.95843931168319
121,121,8.0,555.9000000001397,13.045689618567051,49.95278457508374
122,122,8.0,559.6999999999534,13.057774647047315,49.95455174486438
123,123,8.0,563.5,13.06656357579141,49.94536173225984
124,124,8.0,567.5,13.064366175967331,49.95101734045316
125,125,8.0,573.1999999999534,13.049534900621147,49.97893204417645
126,126,8.0,577.0,13.050633265257051,49.96126637704317
127,127,8.0,580.8000000000466,13.054478547311172,49.96020627394794
128,128,8.0,584.6999999999534,13.080845668819642,49.98281764233293
129,129,8.0,590.5,13.059422529277306,49.95137081414021
130,130,8.0,594.5,13.086338833103754,49.98705613837299
131,131,8.0,598.5,13.089634932839898,49.995531902302226
132,132,8.0,604.4000000001397,13.052830665081155,50.00224081822066
133,133,8.0,610.5,12.891881018612091,49.87142475913999
134,134,8.0,614.3000000000466,12.526036076124983,49.53926480519366
135,135,8.0,618.1000000000931,12.086582933396524,49.48219693485469
136,136,8.0,624.3000000000466,11.628453233267813,49.24859784915417
137,137,8.0,628.5,11.395542933511281,49.36571494278995
138,138,8.0,632.3000000000466,11.248875547708504,49.28587636455662
139,139,8.0,636.1000000000931,11.058812029950834,49.24393610894604
140,140,8.0,640.4000000001397,10.941807697754617,49.22097950172982
141,141,8.0,644.5,10.89676368356973,49.11106998861245
142,142,8.0,648.4000000001397,10.878086790893317,49.17754763203897
143,143,8.0,652.1999999999534,10.918187158388202,49.16390008619608
