,ind,Zoom_level,Format_RT,Longitude,Latitude
0,0,8.0,2.8999999999068677,12.860020736143621,50.511478177201
1,1,8.0,6.800000000279397,12.862767318285652,50.512875321782325
2,2,8.0,13.200000000186265,12.852879354353357,50.54884080466217
3,3,8.0,17.0,12.814427204364623,50.55233114318154
4,4,8.0,20.600000000093132,12.793004064822288,50.515669700096126
5,5,8.0,26.200000000186265,12.835301496865142,50.48911610730884
6,6,8.0,30.399999999906868,12.803990393390512,50.47268723913851
7,7,8.0,34.5,12.846837007751294,50.460449297434515
8,8,8.0,38.200000000186265,12.917698961126723,50.495057084793906
9,9,8.0,43.8000000002794,12.922642607816721,50.47583371187238
10,10,8.0,48.0,12.919346843356713,50.498900735698726
11,11,8.0,53.3000000002794,12.973728968603696,50.46464556264052
12,12,8.0,59.200000000186265,12.908909697106466,50.47233771296817
13,13,8.0,64.8000000002794,12.940769982899049,50.453454765846125
14,14,8.0,68.89999999990687,12.924840007640826,50.47618321219583
15,15,8.0,72.89999999990687,12.900669950680298,50.45695216092156
16,16,8.0,79.5,12.943516565041104,50.45100639274881
17,17,8.0,83.60000000009313,12.958348175663424,50.44086208799492
18,18,8.0,87.8000000002794,12.955601593521369,50.44610947994188
19,19,8.0,91.60000000009313,12.938572918351081,50.433164817957916
20,20,8.0,97.5,12.929234472012872,50.41461640042413
21,21,8.0,101.5,12.935276818614936,50.41181604452235
22,22,8.0,105.60000000009313,12.93088235424289,50.408665312732396
23,23,8.0,109.70000000018626,12.93253023647288,50.41216601794035
24,24,8.0,115.39999999990687,12.944066082635192,50.42301647501041
25,25,8.0,119.20000000018626,12.950657946831344,50.41951657156073
26,26,8.0,123.20000000018626,12.961644275399568,50.42406656649749
27,27,8.0,127.10000000009313,12.966587922089568,50.447858481299214
28,28,8.0,132.8000000002794,12.970433204143688,50.495406442970214
29,29,8.0,138.39999999990687,12.946812664777248,50.50693658537186
30,30,8.0,142.60000000009313,12.928135772100834,50.526147305480976
31,31,8.0,148.39999999990687,12.892430204254156,50.54151033789793
32,32,8.0,152.3000000002794,12.860569918461573,50.565592243417505
33,33,8.0,156.0,12.860569918461573,50.59140532505703
34,34,8.0,160.0,12.843541243291286,50.5955899604483
35,35,8.0,165.89999999990687,12.868260482569765,50.563149678304626
36,36,8.0,169.89999999990687,12.852879354353357,50.5484918418154
37,37,8.0,173.89999999990687,12.857274154001566,50.51881331121923
38,38,8.0,178.3000000002794,12.86551390042771,50.51741612919314
