RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	-	-	-	-	-	-	-	p04-kuba-scrrec2.mkv
2249592.8	08:58:10:673	P04-Kuba-scrrec2.mkv	P04-Kuba	940.3	510.7	-	-	-	-	-	-
2249596.7	08:58:10:677	P04-Kuba-scrrec2.mkv	P04-Kuba	940.7	503.7	-	-	-	-	-	-
2249600.4	08:58:10:680	P04-Kuba-scrrec2.mkv	P04-Kuba	940.9	498.3	-	-	-	-	-	-
2249606.1	08:58:10:686	P04-Kuba-scrrec2.mkv	P04-Kuba	942.0	500.3	-	-	-	-	-	-
2249609.9	08:58:10:690	P04-Kuba-scrrec2.mkv	P04-Kuba	941.2	494.5	-	-	-	-	-	-
2249613.8	08:58:10:694	P04-Kuba-scrrec2.mkv	P04-Kuba	939.5	489.3	-	-	-	-	-	-
2249617.9	08:58:10:698	P04-Kuba-scrrec2.mkv	P04-Kuba	937.6	485.5	-	-	-	-	-	-
2249624.0	08:58:10:704	P04-Kuba-scrrec2.mkv	P04-Kuba	934.7	485.4	-	-	-	-	-	-
2249630.0	08:58:10:710	P04-Kuba-scrrec2.mkv	P04-Kuba	933.7	482.5	-	-	-	-	-	-
2249633.8	08:58:10:714	P04-Kuba-scrrec2.mkv	P04-Kuba	932.6	479.4	-	-	-	-	-	-
2249638.0	08:58:10:718	P04-Kuba-scrrec2.mkv	P04-Kuba	932.2	479.0	-	-	-	-	-	-
2249643.6	08:58:10:724	P04-Kuba-scrrec2.mkv	P04-Kuba	930.9	475.8	-	-	-	-	-	-
2249647.4	08:58:10:727	P04-Kuba-scrrec2.mkv	P04-Kuba	930.9	473.2	-	-	-	-	-	-
2249651.1	08:58:10:731	P04-Kuba-scrrec2.mkv	P04-Kuba	930.4	473.5	-	-	-	-	-	-
2249655.2	08:58:10:735	P04-Kuba-scrrec2.mkv	P04-Kuba	932.3	474.0	-	-	-	-	-	-
2249660.7	08:58:10:741	P04-Kuba-scrrec2.mkv	P04-Kuba	933.1	472.6	-	-	-	-	-	-
2249664.5	08:58:10:744	P04-Kuba-scrrec2.mkv	P04-Kuba	936.6	473.8	-	-	-	-	-	-
2249668.3	08:58:10:748	P04-Kuba-scrrec2.mkv	P04-Kuba	938.1	476.2	-	-	-	-	-	-
2249672.3	08:58:10:752	P04-Kuba-scrrec2.mkv	P04-Kuba	945.0	474.8	-	-	-	-	-	-
2249678.1	08:58:10:758	P04-Kuba-scrrec2.mkv	P04-Kuba	948.3	479.4	-	-	-	-	-	-
2249681.9	08:58:10:762	P04-Kuba-scrrec2.mkv	P04-Kuba	950.8	479.1	-	-	-	-	-	-
2249687.3	08:58:10:767	P04-Kuba-scrrec2.mkv	P04-Kuba	953.0	480.7	-	-	-	-	-	-
2249691.3	08:58:10:771	P04-Kuba-scrrec2.mkv	P04-Kuba	957.5	483.1	-	-	-	-	-	-
2249697.1	08:58:10:777	P04-Kuba-scrrec2.mkv	P04-Kuba	958.6	484.9	-	-	-	-	-	-
2249702.7	08:58:10:783	P04-Kuba-scrrec2.mkv	P04-Kuba	961.8	484.3	-	-	-	-	-	-
2249706.5	08:58:10:786	P04-Kuba-scrrec2.mkv	P04-Kuba	963.2	485.3	-	-	-	-	-	-
2249710.5	08:58:10:790	P04-Kuba-scrrec2.mkv	P04-Kuba	964.9	488.9	-	-	-	-	-	-
2249716.1	08:58:10:796	P04-Kuba-scrrec2.mkv	P04-Kuba	967.2	490.9	-	-	-	-	-	-
