RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
2467382.0	09:01:48:466	P05-Olda-scrrec2.mkv	P05-Olda	-	-	-	-	-	-	-	p05-olda-scrrec2.mkv
2467383.6	09:01:48:468	P05-Olda-scrrec2.mkv	P05-Olda	907.5	523.8	-	-	-	-	-	-
2467387.6	09:01:48:472	P05-Olda-scrrec2.mkv	P05-Olda	907.4	513.9	-	-	-	-	-	-
2467391.4	09:01:48:475	P05-Olda-scrrec2.mkv	P05-Olda	909.8	531.1	-	-	-	-	-	-
2467395.1	09:01:48:479	P05-Olda-scrrec2.mkv	P05-Olda	910.9	515.7	-	-	-	-	-	-
2467398.7	09:01:48:483	P05-Olda-scrrec2.mkv	P05-Olda	911.1	525.4	-	-	-	-	-	-
2467403.7	09:01:48:488	P05-Olda-scrrec2.mkv	P05-Olda	910.3	524.1	-	-	-	-	-	-
2467407.7	09:01:48:492	P05-Olda-scrrec2.mkv	P05-Olda	908.7	525.7	-	-	-	-	-	-
2467412.9	09:01:48:497	P05-Olda-scrrec2.mkv	P05-Olda	910.1	528.5	-	-	-	-	-	-
2467416.5	09:01:48:500	P05-Olda-scrrec2.mkv	P05-Olda	910.9	531.8	-	-	-	-	-	-
2467420.2	09:01:48:504	P05-Olda-scrrec2.mkv	P05-Olda	912.4	537.5	-	-	-	-	-	-
2467424.0	09:01:48:508	P05-Olda-scrrec2.mkv	P05-Olda	914.4	544.7	-	-	-	-	-	-
2467429.2	09:01:48:513	P05-Olda-scrrec2.mkv	P05-Olda	917.3	547.3	-	-	-	-	-	-
2467434.3	09:01:48:518	P05-Olda-scrrec2.mkv	P05-Olda	917.5	549.5	-	-	-	-	-	-
2467437.9	09:01:48:522	P05-Olda-scrrec2.mkv	P05-Olda	918.1	547.4	-	-	-	-	-	-
2467442.0	09:01:48:526	P05-Olda-scrrec2.mkv	P05-Olda	916.9	548.1	-	-	-	-	-	-
2467447.2	09:01:48:531	P05-Olda-scrrec2.mkv	P05-Olda	919.3	547.7	-	-	-	-	-	-
2467452.4	09:01:48:536	P05-Olda-scrrec2.mkv	P05-Olda	921.0	549.3	-	-	-	-	-	-
2467456.2	09:01:48:540	P05-Olda-scrrec2.mkv	P05-Olda	921.6	549.7	-	-	-	-	-	-
2467459.9	09:01:48:544	P05-Olda-scrrec2.mkv	P05-Olda	920.6	548.0	-	-	-	-	-	-
2467465.2	09:01:48:549	P05-Olda-scrrec2.mkv	P05-Olda	922.9	547.5	-	-	-	-	-	-
2467468.7	09:01:48:553	P05-Olda-scrrec2.mkv	P05-Olda	922.5	544.9	-	-	-	-	-	-
2467472.6	09:01:48:557	P05-Olda-scrrec2.mkv	P05-Olda	922.8	543.2	-	-	-	-	-	-
2467476.3	09:01:48:560	P05-Olda-scrrec2.mkv	P05-Olda	922.8	539.1	-	-	-	-	-	-
2467481.7	09:01:48:566	P05-Olda-scrrec2.mkv	P05-Olda	924.2	537.5	-	-	-	-	-	-
2467486.0	09:01:48:570	P05-Olda-scrrec2.mkv	P05-Olda	924.9	535.0	-	-	-	-	-	-
2467489.9	09:01:48:574	P05-Olda-scrrec2.mkv	P05-Olda	925.7	536.7	-	-	-	-	-	-
2467494.4	09:01:48:578	P05-Olda-scrrec2.mkv	P05-Olda	926.0	534.9	-	-	-	-	-	-
2467499.8	09:01:48:584	P05-Olda-scrrec2.mkv	P05-Olda	925.1	531.8	-	-	-	-	-	-
2467505.0	09:01:48:589	P05-Olda-scrrec2.mkv	P05-Olda	927.1	528.7	-	-	-	-	-	-
2467508.8	09:01:48:593	P05-Olda-scrrec2.mkv	P05-Olda	929.5	527.0	-	-	-	-	-	-
2467512.6	09:01:48:597	P05-Olda-scrrec2.mkv	P05-Olda	930.3	526.2	-	-	-	-	-	-
2467518.0	09:01:48:602	P05-Olda-scrrec2.mkv	P05-Olda	933.0	527.0	-	-	-	-	-	-
