Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	1	1.9	162.7	160.7	1096.7	517.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	1	162.7	238.0	75.3	-	-	1098.1	516.1	920.2	661.8	7.8	5851.4	14850.6	-11313.6	103.3	327.9	26.2	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	2	238.0	526.3	288.3	917.7	653.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	2	526.3	573.6	47.4	-	-	916.9	662.8	801.9	644.6	5.1	6371.3	11908.6	-9100.5	107.3	277.6	41.5	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	3	590.7	687.7	97.0	775.4	632.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	1	687.7	1639.8	952.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	3	1516.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	3	1639.8	1679.2	39.4	-	-	881.2	387.9	771.5	522.6	4.6	7620.0	11481.6	-11977.8	116.5	306.2	36.9	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	4	1679.2	1743.2	64.0	-	-	771.5	522.6	828.6	472.4	3.5	2332.9	4988.2	-3275.1	54.7	142.7	35.2	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	5	1751.1	1778.0	26.9	-	-	847.5	488.4	759.0	495.8	1.9	4422.8	6451.7	-7028.4	70.1	154.6	31.1	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	6	1788.1	1824.9	36.8	-	-	743.8	495.4	757.3	497.7	2.4	3677.9	4627.0	-4698.6	66.2	99.8	49.8	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	7	1851.3	1896.6	45.2	-	-	750.1	487.8	712.5	506.7	1.2	624.0	1207.6	-857.4	26.9	45.7	41.4	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	2	1914.9	2068.9	154.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	4	2068.9	2343.1	274.2	1024.5	575.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	8	2343.1	2370.1	27.0	-	-	1020.6	572.9	1068.4	533.1	0.7	1964.6	2984.2	1150.2	27.0	46.9	57.6	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	9	2370.1	2403.3	33.2	-	-	1068.4	533.1	1026.8	585.0	1.5	1927.0	2515.7	-3855.9	44.1	102.5	23.7	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	5	2403.3	2560.4	157.1	1031.0	587.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	10	2560.4	2595.0	34.6	-	-	1032.3	577.9	1103.8	597.6	1.2	1125.8	2765.1	187.8	34.2	75.4	70.8	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	11	2657.6	2687.2	29.6	-	-	1086.4	569.0	1096.4	604.3	1.3	1535.0	2959.8	-2350.4	45.3	103.8	67.3	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	12	2710.1	2741.7	31.6	-	-	1058.6	581.9	1099.5	621.2	1.2	942.6	1618.5	-1828.4	36.6	60.1	37.4	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	13	2741.7	2768.2	26.5	-	-	1099.5	621.2	1065.3	578.8	1.3	1927.2	3403.2	-2817.9	50.8	99.4	69.8	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	14	2768.2	2824.2	56.0	-	-	1065.3	578.8	785.5	513.9	7.8	9927.0	18663.1	-17739.5	138.6	429.0	50.4	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	4	2775.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	6	2844.2	3014.7	170.5	757.3	515.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	15	3014.7	3079.7	64.9	-	-	756.2	518.8	0.0	0.0	46.7	42760.7	70150.2	-104145.6	719.8	2473.7	78.9	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	3	3079.7	4105.4	1025.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	5	3605.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	6	3805.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	7	4060.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	16	4105.4	4131.7	26.3	-	-	0.0	0.0	786.5	458.0	17.1	46409.9	62913.3	-60621.0	648.1	1493.5	45.2	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	17	4131.7	4224.2	92.5	-	-	786.5	458.0	774.2	519.3	9.5	8154.3	5568.2	-60621.0	102.6	267.2	78.3	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	18	4250.7	4285.5	34.8	-	-	766.3	487.0	764.8	459.9	1.3	2120.6	3334.8	-2791.3	37.5	97.2	53.5	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	4	4285.5	5314.7	1029.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	8	5245.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	7	5314.7	5676.4	361.7	895.3	559.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	5	5676.4	5866.6	190.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	8	5866.6	6007.7	141.1	948.6	635.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	19	6007.7	6036.0	28.3	-	-	945.2	642.3	844.8	513.9	3.2	7459.9	10432.4	-9604.3	114.2	235.4	46.8	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	9	6036.0	6458.5	422.5	826.8	522.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	20	6458.5	6500.5	42.0	-	-	822.9	525.6	982.2	541.7	4.2	6742.1	11011.8	-10259.8	99.0	248.2	44.5	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	10	6520.9	6907.3	386.4	1003.6	540.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	21	6907.3	6993.9	86.6	-	-	1007.6	523.0	979.2	821.1	7.4	4728.4	14228.0	-11698.7	85.0	297.7	20.2	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	11	6993.9	7367.7	373.8	962.3	792.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	22	7396.9	7444.6	47.6	-	-	926.8	740.6	908.9	742.9	2.3	2015.5	3652.6	-3635.7	47.8	98.1	48.4	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	23	7444.6	7468.9	24.3	-	-	908.9	742.9	922.2	753.2	1.0	988.4	2033.2	-1495.1	41.1	64.1	54.7	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	12	7496.2	7824.7	328.5	901.3	742.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	24	7824.7	7856.5	31.8	-	-	879.4	737.0	873.1	697.9	0.9	1289.9	1754.2	-1681.6	26.8	42.3	39.3	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	25	7890.3	7915.4	25.0	-	-	868.1	686.9	901.5	716.1	0.9	1995.6	3295.5	-2827.6	37.7	77.9	60.7	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	13	7915.4	8131.5	216.1	888.2	700.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	26	8131.5	8168.4	36.9	-	-	930.8	715.0	925.4	704.5	1.1	901.1	779.1	-1541.9	29.7	55.5	26.3	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	14	8168.4	8317.1	148.7	918.9	691.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	27	8317.1	8405.3	88.2	-	-	890.8	673.4	1266.3	858.4	12.5	8189.5	21470.3	-19086.7	141.8	472.6	42.8	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	15	8405.3	8553.7	148.5	1238.2	813.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	28	8553.7	8602.1	48.4	-	-	1201.9	803.9	1169.5	799.9	1.4	987.1	2295.0	-1596.0	29.0	63.4	48.1	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	29	8602.1	8666.5	64.4	-	-	1169.5	799.9	1116.5	799.9	3.2	1544.7	3234.7	-1875.4	49.4	101.5	50.4	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	30	8666.5	8723.1	56.5	-	-	1116.5	799.9	1229.0	826.8	4.4	1628.6	2793.9	-4351.5	77.0	145.0	48.0	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	31	8723.1	8813.2	90.1	-	-	1229.0	826.8	1431.9	841.2	9.8	5397.1	14208.3	-13035.9	108.4	356.0	33.7	-	-	-
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	16	8813.2	8936.8	123.7	1417.1	848.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
