Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	1	4.5	197.4	192.9	1018.2	417.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	1	197.4	239.2	41.8	-	-	1014.8	428.3	901.3	633.7	5.3	8525.1	11382.1	-11328.6	125.7	234.6	41.3	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	2	281.0	314.3	33.3	-	-	912.2	647.3	900.9	590.2	1.2	1937.7	2534.3	-2788.5	35.2	68.7	46.7	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	2	314.3	456.1	141.8	918.5	595.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	3	529.0	573.6	44.6	-	-	861.6	644.9	760.0	568.8	2.5	3033.2	4658.5	-4446.5	55.6	123.0	35.6	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	3	573.6	649.4	75.8	755.4	558.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	4	649.4	698.5	49.1	-	-	754.0	556.7	0.0	0.0	35.6	46240.8	65443.3	-95559.5	725.6	2255.9	76.0	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	1	698.5	841.9	143.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	4	945.5	1071.4	125.9	874.4	558.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	5	1071.4	1118.6	47.2	-	-	870.4	577.7	948.2	537.1	1.9	1865.2	2889.2	-2213.9	39.4	64.0	37.7	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	5	1118.6	1425.9	307.3	945.0	546.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	6	1425.9	1473.0	47.0	-	-	942.0	556.6	735.3	551.4	4.4	6630.1	10026.4	-9340.6	94.2	213.3	39.8	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	6	1473.0	1711.0	238.1	739.6	546.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	3	1536.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
