RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1472036.5	08:45:13:108	P02-Terka-scrrec2.mkv	P02-Terka	-	-	-	-	-	-	-	p02-terka-scrrec2.mkv
1472041.0	08:45:13:112	P02-Terka-scrrec2.mkv	P02-Terka	1017.2	419.8	-	-	-	-	-	-
1472044.8	08:45:13:116	P02-Terka-scrrec2.mkv	P02-Terka	1017.2	417.2	-	-	-	-	-	-
1472048.7	08:45:13:120	P02-Terka-scrrec2.mkv	P02-Terka	1016.2	419.0	-	-	-	-	-	-
1472052.6	08:45:13:124	P02-Terka-scrrec2.mkv	P02-Terka	1017.7	418.0	-	-	-	-	-	-
1472057.8	08:45:13:129	P02-Terka-scrrec2.mkv	P02-Terka	1019.5	418.8	-	-	-	-	-	-
1472061.6	08:45:13:133	P02-Terka-scrrec2.mkv	P02-Terka	1020.6	417.1	-	-	-	-	-	-
1472065.6	08:45:13:137	P02-Terka-scrrec2.mkv	P02-Terka	1021.9	417.6	-	-	-	-	-	-
1472069.4	08:45:13:141	P02-Terka-scrrec2.mkv	P02-Terka	1022.0	416.7	-	-	-	-	-	-
1472073.2	08:45:13:145	P02-Terka-scrrec2.mkv	P02-Terka	1024.0	418.2	-	-	-	-	-	-
1472076.9	08:45:13:148	P02-Terka-scrrec2.mkv	P02-Terka	1022.3	415.6	-	-	-	-	-	-
1472080.8	08:45:13:152	P02-Terka-scrrec2.mkv	P02-Terka	1021.3	415.9	-	-	-	-	-	-
1472084.6	08:45:13:156	P02-Terka-scrrec2.mkv	P02-Terka	1022.4	416.9	-	-	-	-	-	-
1472088.5	08:45:13:160	P02-Terka-scrrec2.mkv	P02-Terka	1022.3	416.3	-	-	-	-	-	-
1472092.3	08:45:13:164	P02-Terka-scrrec2.mkv	P02-Terka	1023.9	416.6	-	-	-	-	-	-
1472098.3	08:45:13:170	P02-Terka-scrrec2.mkv	P02-Terka	1023.2	416.8	-	-	-	-	-	-
1472102.5	08:45:13:174	P02-Terka-scrrec2.mkv	P02-Terka	1020.3	416.6	-	-	-	-	-	-
1472106.2	08:45:13:178	P02-Terka-scrrec2.mkv	P02-Terka	1019.4	417.6	-	-	-	-	-	-
1472111.8	08:45:13:183	P02-Terka-scrrec2.mkv	P02-Terka	1018.9	417.5	-	-	-	-	-	-
1472115.8	08:45:13:187	P02-Terka-scrrec2.mkv	P02-Terka	1017.0	419.0	-	-	-	-	-	-
1472119.8	08:45:13:191	P02-Terka-scrrec2.mkv	P02-Terka	1018.5	419.8	-	-	-	-	-	-
1472123.5	08:45:13:195	P02-Terka-scrrec2.mkv	P02-Terka	1019.0	420.9	-	-	-	-	-	-
1472129.2	08:45:13:201	P02-Terka-scrrec2.mkv	P02-Terka	1021.7	421.1	-	-	-	-	-	-
1472135.0	08:45:13:206	P02-Terka-scrrec2.mkv	P02-Terka	1019.8	415.2	-	-	-	-	-	-
1472141.1	08:45:13:213	P02-Terka-scrrec2.mkv	P02-Terka	1018.8	413.0	-	-	-	-	-	-
1472146.7	08:45:13:218	P02-Terka-scrrec2.mkv	P02-Terka	1017.3	412.6	-	-	-	-	-	-
1472150.6	08:45:13:222	P02-Terka-scrrec2.mkv	P02-Terka	1017.0	410.4	-	-	-	-	-	-
1472154.4	08:45:13:226	P02-Terka-scrrec2.mkv	P02-Terka	1018.2	410.1	-	-	-	-	-	-
1472158.4	08:45:13:230	P02-Terka-scrrec2.mkv	P02-Terka	1020.9	410.0	-	-	-	-	-	-
1472164.0	08:45:13:235	P02-Terka-scrrec2.mkv	P02-Terka	1017.9	409.6	-	-	-	-	-	-
1472167.7	08:45:13:239	P02-Terka-scrrec2.mkv	P02-Terka	1018.9	409.3	-	-	-	-	-	-
1472171.6	08:45:13:243	P02-Terka-scrrec2.mkv	P02-Terka	1017.6	406.2	-	-	-	-	-	-
1472175.5	08:45:13:247	P02-Terka-scrrec2.mkv	P02-Terka	1014.6	409.3	-	-	-	-	-	-
1472181.3	08:45:13:253	P02-Terka-scrrec2.mkv	P02-Terka	1014.8	411.6	-	-	-	-	-	-
1472185.2	08:45:13:257	P02-Terka-scrrec2.mkv	P02-Terka	1014.7	410.5	-	-	-	-	-	-
1472189.0	08:45:13:261	P02-Terka-scrrec2.mkv	P02-Terka	1015.0	414.8	-	-	-	-	-	-
1472194.5	08:45:13:266	P02-Terka-scrrec2.mkv	P02-Terka	1014.8	417.8	-	-	-	-	-	-
1472200.2	08:45:13:272	P02-Terka-scrrec2.mkv	P02-Terka	1014.6	420.8	-	-	-	-	-	-
1472205.8	08:45:13:277	P02-Terka-scrrec2.mkv	P02-Terka	1013.4	425.0	-	-	-	-	-	-
1472210.8	08:45:13:282	P02-Terka-scrrec2.mkv	P02-Terka	1012.2	423.7	-	-	-	-	-	-
1472216.7	08:45:13:288	P02-Terka-scrrec2.mkv	P02-Terka	1012.9	426.5	-	-	-	-	-	-
1472220.4	08:45:13:292	P02-Terka-scrrec2.mkv	P02-Terka	1012.6	428.5	-	-	-	-	-	-
1472224.1	08:45:13:296	P02-Terka-scrrec2.mkv	P02-Terka	1015.2	430.3	-	-	-	-	-	-
1472228.1	08:45:13:300	P02-Terka-scrrec2.mkv	P02-Terka	1015.8	429.9	-	-	-	-	-	-
1472233.9	08:45:13:305	P02-Terka-scrrec2.mkv	P02-Terka	1014.8	428.3	-	-	-	-	-	-
1472237.7	08:45:13:309	P02-Terka-scrrec2.mkv	P02-Terka	1008.8	433.0	-	-	-	-	-	-
1472241.5	08:45:13:313	P02-Terka-scrrec2.mkv	P02-Terka	1006.4	435.1	-	-	-	-	-	-
1472245.3	08:45:13:317	P02-Terka-scrrec2.mkv	P02-Terka	971.4	507.4	-	-	-	-	-	-
1472251.2	08:45:13:323	P02-Terka-scrrec2.mkv	P02-Terka	912.9	510.1	-	-	-	-	-	-
1472256.4	08:45:13:328	P02-Terka-scrrec2.mkv	P02-Terka	884.6	536.3	-	-	-	-	-	-
1472260.2	08:45:13:332	P02-Terka-scrrec2.mkv	P02-Terka	905.2	635.3	-	-	-	-	-	-
1472264.1	08:45:13:336	P02-Terka-scrrec2.mkv	P02-Terka	907.5	639.6	-	-	-	-	-	-
1472270.2	08:45:13:342	P02-Terka-scrrec2.mkv	P02-Terka	905.1	637.2	-	-	-	-	-	-
1472275.7	08:45:13:347	P02-Terka-scrrec2.mkv	P02-Terka	901.3	633.7	-	-	-	-	-	-
1472279.5	08:45:13:351	P02-Terka-scrrec2.mkv	P02-Terka	899.7	636.3	-	-	-	-	-	-
1472283.4	08:45:13:355	P02-Terka-scrrec2.mkv	P02-Terka	899.8	637.1	-	-	-	-	-	-
1472287.6	08:45:13:359	P02-Terka-scrrec2.mkv	P02-Terka	902.0	640.8	-	-	-	-	-	-
1472291.5	08:45:13:363	P02-Terka-scrrec2.mkv	P02-Terka	900.5	640.5	-	-	-	-	-	-
1472295.5	08:45:13:367	P02-Terka-scrrec2.mkv	P02-Terka	900.8	641.3	-	-	-	-	-	-
1472299.3	08:45:13:371	P02-Terka-scrrec2.mkv	P02-Terka	902.6	642.8	-	-	-	-	-	-
1472305.2	08:45:13:377	P02-Terka-scrrec2.mkv	P02-Terka	904.9	644.5	-	-	-	-	-	-
1472309.1	08:45:13:381	P02-Terka-scrrec2.mkv	P02-Terka	908.7	644.6	-	-	-	-	-	-
1472312.9	08:45:13:384	P02-Terka-scrrec2.mkv	P02-Terka	905.6	646.4	-	-	-	-	-	-
1472317.5	08:45:13:389	P02-Terka-scrrec2.mkv	P02-Terka	912.2	647.3	-	-	-	-	-	-
1472323.3	08:45:13:395	P02-Terka-scrrec2.mkv	P02-Terka	918.9	648.2	-	-	-	-	-	-
1472329.0	08:45:13:401	P02-Terka-scrrec2.mkv	P02-Terka	911.9	633.8	-	-	-	-	-	-
1472333.1	08:45:13:405	P02-Terka-scrrec2.mkv	P02-Terka	909.7	608.7	-	-	-	-	-	-
