RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1175797.1	08:40:16:867	P01-Honza-scrrec2.mkv	P01-Honza	-	-	-	-	-	-	-	p01-honza-scrrec2.mkv
1175800.9	08:40:16:871	P01-Honza-scrrec2.mkv	P01-Honza	981.3	492.0	-	-	-	-	-	-
1175805.7	08:40:16:876	P01-Honza-scrrec2.mkv	P01-Honza	981.7	491.3	-	-	-	-	-	-
1175809.7	08:40:16:880	P01-Honza-scrrec2.mkv	P01-Honza	984.1	503.4	-	-	-	-	-	-
1175813.4	08:40:16:883	P01-Honza-scrrec2.mkv	P01-Honza	986.4	493.7	-	-	-	-	-	-
1175817.3	08:40:16:887	P01-Honza-scrrec2.mkv	P01-Honza	987.2	489.1	-	-	-	-	-	-
1175822.2	08:40:16:892	P01-Honza-scrrec2.mkv	P01-Honza	992.2	506.8	-	-	-	-	-	-
1175826.0	08:40:16:896	P01-Honza-scrrec2.mkv	P01-Honza	998.3	611.4	-	-	-	-	-	-
1175829.7	08:40:16:900	P01-Honza-scrrec2.mkv	P01-Honza	1001.8	656.0	-	-	-	-	-	-
1175833.6	08:40:16:903	P01-Honza-scrrec2.mkv	P01-Honza	1011.2	651.8	-	-	-	-	-	-
1175839.0	08:40:16:909	P01-Honza-scrrec2.mkv	P01-Honza	1008.8	671.3	-	-	-	-	-	-
1175843.0	08:40:16:913	P01-Honza-scrrec2.mkv	P01-Honza	1005.3	681.4	-	-	-	-	-	-
1175846.7	08:40:16:917	P01-Honza-scrrec2.mkv	P01-Honza	1008.2	673.9	-	-	-	-	-	-
1175850.6	08:40:16:921	P01-Honza-scrrec2.mkv	P01-Honza	1007.4	672.7	-	-	-	-	-	-
1175856.5	08:40:16:926	P01-Honza-scrrec2.mkv	P01-Honza	1005.2	677.6	-	-	-	-	-	-
1175860.5	08:40:16:930	P01-Honza-scrrec2.mkv	P01-Honza	1009.0	684.5	-	-	-	-	-	-
1175864.5	08:40:16:934	P01-Honza-scrrec2.mkv	P01-Honza	1012.8	694.1	-	-	-	-	-	-
1175868.5	08:40:16:938	P01-Honza-scrrec2.mkv	P01-Honza	1014.1	702.5	-	-	-	-	-	-
1175874.1	08:40:16:944	P01-Honza-scrrec2.mkv	P01-Honza	1015.3	710.4	-	-	-	-	-	-
1175877.8	08:40:16:948	P01-Honza-scrrec2.mkv	P01-Honza	1011.8	722.5	-	-	-	-	-	-
1175881.8	08:40:16:952	P01-Honza-scrrec2.mkv	P01-Honza	1010.7	728.8	-	-	-	-	-	-
1175886.4	08:40:16:956	P01-Honza-scrrec2.mkv	P01-Honza	1008.8	724.5	-	-	-	-	-	-
1175892.2	08:40:16:962	P01-Honza-scrrec2.mkv	P01-Honza	1012.3	728.2	-	-	-	-	-	-
1175897.8	08:40:16:968	P01-Honza-scrrec2.mkv	P01-Honza	1012.9	720.0	-	-	-	-	-	-
1175901.7	08:40:16:972	P01-Honza-scrrec2.mkv	P01-Honza	1010.9	717.3	-	-	-	-	-	-
1175905.5	08:40:16:975	P01-Honza-scrrec2.mkv	P01-Honza	1014.3	719.5	-	-	-	-	-	-
1175911.2	08:40:16:981	P01-Honza-scrrec2.mkv	P01-Honza	1014.3	727.1	-	-	-	-	-	-
1175914.9	08:40:16:985	P01-Honza-scrrec2.mkv	P01-Honza	1015.2	728.2	-	-	-	-	-	-
1175918.9	08:40:16:989	P01-Honza-scrrec2.mkv	P01-Honza	1013.8	712.2	-	-	-	-	-	-
1175922.8	08:40:16:993	P01-Honza-scrrec2.mkv	P01-Honza	1012.6	700.0	-	-	-	-	-	-
1175928.5	08:40:16:998	P01-Honza-scrrec2.mkv	P01-Honza	1012.4	714.8	-	-	-	-	-	-
1175932.2	08:40:17:002	P01-Honza-scrrec2.mkv	P01-Honza	1012.0	712.8	-	-	-	-	-	-
1175935.9	08:40:17:006	P01-Honza-scrrec2.mkv	P01-Honza	1011.9	717.9	-	-	-	-	-	-
1175939.9	08:40:17:010	P01-Honza-scrrec2.mkv	P01-Honza	1012.6	720.0	-	-	-	-	-	-
1175944.0	08:40:17:014	P01-Honza-scrrec2.mkv	P01-Honza	1013.5	720.1	-	-	-	-	-	-
1175947.9	08:40:17:018	P01-Honza-scrrec2.mkv	P01-Honza	1014.8	714.8	-	-	-	-	-	-
1175953.6	08:40:17:023	P01-Honza-scrrec2.mkv	P01-Honza	1015.9	716.7	-	-	-	-	-	-
1175957.6	08:40:17:027	P01-Honza-scrrec2.mkv	P01-Honza	1017.6	714.3	-	-	-	-	-	-
1175963.2	08:40:17:033	P01-Honza-scrrec2.mkv	P01-Honza	1018.0	713.9	-	-	-	-	-	-
1175968.5	08:40:17:038	P01-Honza-scrrec2.mkv	P01-Honza	1020.2	713.9	-	-	-	-	-	-
1175972.1	08:40:17:042	P01-Honza-scrrec2.mkv	P01-Honza	1022.0	715.1	-	-	-	-	-	-
1175976.0	08:40:17:046	P01-Honza-scrrec2.mkv	P01-Honza	1025.2	714.2	-	-	-	-	-	-
1175981.9	08:40:17:052	P01-Honza-scrrec2.mkv	P01-Honza	1024.4	716.1	-	-	-	-	-	-
1175985.6	08:40:17:056	P01-Honza-scrrec2.mkv	P01-Honza	1026.2	713.8	-	-	-	-	-	-
1175989.4	08:40:17:059	P01-Honza-scrrec2.mkv	P01-Honza	1025.2	713.8	-	-	-	-	-	-
1175993.2	08:40:17:063	P01-Honza-scrrec2.mkv	P01-Honza	1024.7	714.0	-	-	-	-	-	-
1175997.2	08:40:17:067	P01-Honza-scrrec2.mkv	P01-Honza	1023.1	713.3	-	-	-	-	-	-
1176001.0	08:40:17:071	P01-Honza-scrrec2.mkv	P01-Honza	1021.4	712.0	-	-	-	-	-	-
1176004.7	08:40:17:075	P01-Honza-scrrec2.mkv	P01-Honza	1020.2	710.6	-	-	-	-	-	-
1176008.6	08:40:17:078	P01-Honza-scrrec2.mkv	P01-Honza	1022.7	707.5	-	-	-	-	-	-
1176014.1	08:40:17:084	P01-Honza-scrrec2.mkv	P01-Honza	1019.5	711.4	-	-	-	-	-	-
1176019.6	08:40:17:090	P01-Honza-scrrec2.mkv	P01-Honza	1020.7	711.5	-	-	-	-	-	-
1176025.2	08:40:17:095	P01-Honza-scrrec2.mkv	P01-Honza	1019.8	708.3	-	-	-	-	-	-
1176029.2	08:40:17:099	P01-Honza-scrrec2.mkv	P01-Honza	1020.1	708.9	-	-	-	-	-	-
1176032.9	08:40:17:103	P01-Honza-scrrec2.mkv	P01-Honza	1019.1	710.6	-	-	-	-	-	-
1176038.2	08:40:17:108	P01-Honza-scrrec2.mkv	P01-Honza	1020.3	710.3	-	-	-	-	-	-
1176042.0	08:40:17:112	P01-Honza-scrrec2.mkv	P01-Honza	1018.3	704.9	-	-	-	-	-	-
1176046.0	08:40:17:116	P01-Honza-scrrec2.mkv	P01-Honza	1008.2	694.9	-	-	-	-	-	-
1176049.8	08:40:17:120	P01-Honza-scrrec2.mkv	P01-Honza	959.0	658.9	-	-	-	-	-	-
1176055.3	08:40:17:125	P01-Honza-scrrec2.mkv	P01-Honza	956.6	659.1	-	-	-	-	-	-
1176060.7	08:40:17:131	P01-Honza-scrrec2.mkv	P01-Honza	930.8	647.8	-	-	-	-	-	-
1176064.6	08:40:17:134	P01-Honza-scrrec2.mkv	P01-Honza	922.2	652.1	-	-	-	-	-	-
1176068.5	08:40:17:138	P01-Honza-scrrec2.mkv	P01-Honza	916.7	651.3	-	-	-	-	-	-
1176074.1	08:40:17:144	P01-Honza-scrrec2.mkv	P01-Honza	921.3	657.2	-	-	-	-	-	-
1176079.6	08:40:17:150	P01-Honza-scrrec2.mkv	P01-Honza	924.1	656.2	-	-	-	-	-	-
1176083.4	08:40:17:153	P01-Honza-scrrec2.mkv	P01-Honza	926.0	662.8	-	-	-	-	-	-
1176087.1	08:40:17:157	P01-Honza-scrrec2.mkv	P01-Honza	927.1	659.1	-	-	-	-	-	-
1176092.6	08:40:17:163	P01-Honza-scrrec2.mkv	P01-Honza	926.5	650.6	-	-	-	-	-	-
1176098.3	08:40:17:168	P01-Honza-scrrec2.mkv	P01-Honza	923.2	648.9	-	-	-	-	-	-
1176102.3	08:40:17:172	P01-Honza-scrrec2.mkv	P01-Honza	919.8	655.3	-	-	-	-	-	-
1176106.1	08:40:17:176	P01-Honza-scrrec2.mkv	P01-Honza	920.3	657.6	-	-	-	-	-	-
1176111.7	08:40:17:182	P01-Honza-scrrec2.mkv	P01-Honza	919.9	661.4	-	-	-	-	-	-
1176115.4	08:40:17:185	P01-Honza-scrrec2.mkv	P01-Honza	922.4	667.8	-	-	-	-	-	-
1176119.2	08:40:17:189	P01-Honza-scrrec2.mkv	P01-Honza	922.8	666.7	-	-	-	-	-	-
1176122.9	08:40:17:193	P01-Honza-scrrec2.mkv	P01-Honza	923.1	664.7	-	-	-	-	-	-
1176128.4	08:40:17:198	P01-Honza-scrrec2.mkv	P01-Honza	923.3	660.5	-	-	-	-	-	-
1176132.2	08:40:17:202	P01-Honza-scrrec2.mkv	P01-Honza	922.5	654.0	-	-	-	-	-	-
1176136.1	08:40:17:206	P01-Honza-scrrec2.mkv	P01-Honza	921.0	658.1	-	-	-	-	-	-
1176141.9	08:40:17:212	P01-Honza-scrrec2.mkv	P01-Honza	920.4	655.6	-	-	-	-	-	-
1176147.7	08:40:17:218	P01-Honza-scrrec2.mkv	P01-Honza	920.5	655.8	-	-	-	-	-	-
1176151.8	08:40:17:222	P01-Honza-scrrec2.mkv	P01-Honza	922.0	649.1	-	-	-	-	-	-
1176155.7	08:40:17:226	P01-Honza-scrrec2.mkv	P01-Honza	920.9	647.3	-	-	-	-	-	-
1176161.3	08:40:17:231	P01-Honza-scrrec2.mkv	P01-Honza	921.0	651.1	-	-	-	-	-	-
1176165.1	08:40:17:235	P01-Honza-scrrec2.mkv	P01-Honza	922.9	651.2	-	-	-	-	-	-
1176168.8	08:40:17:239	P01-Honza-scrrec2.mkv	P01-Honza	924.4	649.1	-	-	-	-	-	-
1176172.7	08:40:17:243	P01-Honza-scrrec2.mkv	P01-Honza	924.9	652.0	-	-	-	-	-	-
1176178.7	08:40:17:249	P01-Honza-scrrec2.mkv	P01-Honza	925.4	652.6	-	-	-	-	-	-
1176182.4	08:40:17:252	P01-Honza-scrrec2.mkv	P01-Honza	924.3	648.3	-	-	-	-	-	-
1176186.2	08:40:17:256	P01-Honza-scrrec2.mkv	P01-Honza	925.2	649.4	-	-	-	-	-	-
1176190.1	08:40:17:260	P01-Honza-scrrec2.mkv	P01-Honza	926.4	648.3	-	-	-	-	-	-
1176195.7	08:40:17:266	P01-Honza-scrrec2.mkv	P01-Honza	925.0	648.6	-	-	-	-	-	-
1176199.3	08:40:17:269	P01-Honza-scrrec2.mkv	P01-Honza	921.6	655.3	-	-	-	-	-	-
1176204.9	08:40:17:275	P01-Honza-scrrec2.mkv	P01-Honza	922.8	655.5	-	-	-	-	-	-
1176208.8	08:40:17:279	P01-Honza-scrrec2.mkv	P01-Honza	922.0	657.8	-	-	-	-	-	-
1176212.9	08:40:17:283	P01-Honza-scrrec2.mkv	P01-Honza	920.5	652.7	-	-	-	-	-	-
1176216.8	08:40:17:287	P01-Honza-scrrec2.mkv	P01-Honza	920.3	654.3	-	-	-	-	-	-
1176220.6	08:40:17:290	P01-Honza-scrrec2.mkv	P01-Honza	917.6	653.3	-	-	-	-	-	-
1176224.6	08:40:17:294	P01-Honza-scrrec2.mkv	P01-Honza	915.5	647.4	-	-	-	-	-	-
1176230.3	08:40:17:300	P01-Honza-scrrec2.mkv	P01-Honza	915.4	647.9	-	-	-	-	-	-
1176234.1	08:40:17:304	P01-Honza-scrrec2.mkv	P01-Honza	913.4	648.7	-	-	-	-	-	-
1176237.8	08:40:17:308	P01-Honza-scrrec2.mkv	P01-Honza	916.3	650.7	-	-	-	-	-	-
1176241.8	08:40:17:312	P01-Honza-scrrec2.mkv	P01-Honza	921.2	657.1	-	-	-	-	-	-
1176247.3	08:40:17:317	P01-Honza-scrrec2.mkv	P01-Honza	921.3	652.2	-	-	-	-	-	-
1176251.2	08:40:17:321	P01-Honza-scrrec2.mkv	P01-Honza	921.3	652.9	-	-	-	-	-	-
1176254.7	08:40:17:325	P01-Honza-scrrec2.mkv	P01-Honza	920.5	651.1	-	-	-	-	-	-
1176258.7	08:40:17:329	P01-Honza-scrrec2.mkv	P01-Honza	922.3	653.1	-	-	-	-	-	-
1176262.6	08:40:17:333	P01-Honza-scrrec2.mkv	P01-Honza	919.4	650.1	-	-	-	-	-	-
1176266.5	08:40:17:336	P01-Honza-scrrec2.mkv	P01-Honza	920.9	648.3	-	-	-	-	-	-
1176272.0	08:40:17:342	P01-Honza-scrrec2.mkv	P01-Honza	920.8	648.9	-	-	-	-	-	-
1176275.9	08:40:17:346	P01-Honza-scrrec2.mkv	P01-Honza	919.3	648.1	-	-	-	-	-	-
1176281.7	08:40:17:352	P01-Honza-scrrec2.mkv	P01-Honza	917.3	650.7	-	-	-	-	-	-
1176287.4	08:40:17:357	P01-Honza-scrrec2.mkv	P01-Honza	915.8	653.0	-	-	-	-	-	-
1176291.1	08:40:17:361	P01-Honza-scrrec2.mkv	P01-Honza	914.3	653.0	-	-	-	-	-	-
1176296.8	08:40:17:367	P01-Honza-scrrec2.mkv	P01-Honza	912.6	654.0	-	-	-	-	-	-
1176300.6	08:40:17:371	P01-Honza-scrrec2.mkv	P01-Honza	913.0	653.3	-	-	-	-	-	-
1176304.5	08:40:17:374	P01-Honza-scrrec2.mkv	P01-Honza	913.4	655.3	-	-	-	-	-	-
1176308.5	08:40:17:378	P01-Honza-scrrec2.mkv	P01-Honza	910.6	652.9	-	-	-	-	-	-
1176314.0	08:40:17:384	P01-Honza-scrrec2.mkv	P01-Honza	911.1	652.4	-	-	-	-	-	-
1176317.9	08:40:17:388	P01-Honza-scrrec2.mkv	P01-Honza	910.5	653.0	-	-	-	-	-	-
1176321.6	08:40:17:391	P01-Honza-scrrec2.mkv	P01-Honza	912.4	653.5	-	-	-	-	-	-
1176327.0	08:40:17:397	P01-Honza-scrrec2.mkv	P01-Honza	910.9	653.8	-	-	-	-	-	-
1176332.6	08:40:17:402	P01-Honza-scrrec2.mkv	P01-Honza	912.8	654.1	-	-	-	-	-	-
1176336.8	08:40:17:407	P01-Honza-scrrec2.mkv	P01-Honza	914.3	650.5	-	-	-	-	-	-
1176342.0	08:40:17:412	P01-Honza-scrrec2.mkv	P01-Honza	912.0	649.6	-	-	-	-	-	-
1176347.7	08:40:17:418	P01-Honza-scrrec2.mkv	P01-Honza	912.2	647.4	-	-	-	-	-	-
1176351.5	08:40:17:421	P01-Honza-scrrec2.mkv	P01-Honza	913.1	646.2	-	-	-	-	-	-
1176355.3	08:40:17:425	P01-Honza-scrrec2.mkv	P01-Honza	915.5	649.2	-	-	-	-	-	-
1176359.0	08:40:17:429	P01-Honza-scrrec2.mkv	P01-Honza	921.7	651.6	-	-	-	-	-	-
1176362.7	08:40:17:433	P01-Honza-scrrec2.mkv	P01-Honza	934.3	653.9	-	-	-	-	-	-
1176366.6	08:40:17:436	P01-Honza-scrrec2.mkv	P01-Honza	953.6	652.8	-	-	-	-	-	-
1176370.4	08:40:17:440	P01-Honza-scrrec2.mkv	P01-Honza	947.7	652.3	-	-	-	-	-	-
1176374.2	08:40:17:444	P01-Honza-scrrec2.mkv	P01-Honza	947.8	652.2	-	-	-	-	-	-
1176377.9	08:40:17:448	P01-Honza-scrrec2.mkv	P01-Honza	942.5	662.5	-	-	-	-	-	-
1176383.4	08:40:17:453	P01-Honza-scrrec2.mkv	P01-Honza	952.6	662.2	-	-	-	-	-	-
1176389.2	08:40:17:459	P01-Honza-scrrec2.mkv	P01-Honza	954.4	662.3	-	-	-	-	-	-
1176392.9	08:40:17:463	P01-Honza-scrrec2.mkv	P01-Honza	958.3	662.1	-	-	-	-	-	-
1176396.6	08:40:17:466	P01-Honza-scrrec2.mkv	P01-Honza	964.6	664.0	-	-	-	-	-	-
1176402.2	08:40:17:472	P01-Honza-scrrec2.mkv	P01-Honza	962.1	659.8	-	-	-	-	-	-
1176408.2	08:40:17:478	P01-Honza-scrrec2.mkv	P01-Honza	962.8	652.6	-	-	-	-	-	-
1176411.9	08:40:17:482	P01-Honza-scrrec2.mkv	P01-Honza	960.6	652.7	-	-	-	-	-	-
1176415.5	08:40:17:485	P01-Honza-scrrec2.mkv	P01-Honza	958.3	655.7	-	-	-	-	-	-
1176421.3	08:40:17:491	P01-Honza-scrrec2.mkv	P01-Honza	958.4	650.1	-	-	-	-	-	-
1176425.2	08:40:17:495	P01-Honza-scrrec2.mkv	P01-Honza	959.0	650.4	-	-	-	-	-	-
1176428.8	08:40:17:499	P01-Honza-scrrec2.mkv	P01-Honza	959.2	652.1	-	-	-	-	-	-
1176432.5	08:40:17:502	P01-Honza-scrrec2.mkv	P01-Honza	958.6	650.4	-	-	-	-	-	-
1176438.1	08:40:17:508	P01-Honza-scrrec2.mkv	P01-Honza	958.1	650.4	-	-	-	-	-	-
1176442.1	08:40:17:512	P01-Honza-scrrec2.mkv	P01-Honza	958.2	651.7	-	-	-	-	-	-
1176445.7	08:40:17:516	P01-Honza-scrrec2.mkv	P01-Honza	957.9	654.4	-	-	-	-	-	-
1176450.9	08:40:17:521	P01-Honza-scrrec2.mkv	P01-Honza	959.6	660.5	-	-	-	-	-	-
1176456.5	08:40:17:526	P01-Honza-scrrec2.mkv	P01-Honza	960.9	662.9	-	-	-	-	-	-
1176462.0	08:40:17:532	P01-Honza-scrrec2.mkv	P01-Honza	960.7	666.6	-	-	-	-	-	-
1176465.8	08:40:17:536	P01-Honza-scrrec2.mkv	P01-Honza	964.0	664.7	-	-	-	-	-	-
1176469.4	08:40:17:539	P01-Honza-scrrec2.mkv	P01-Honza	964.1	670.0	-	-	-	-	-	-
1176475.5	08:40:17:545	P01-Honza-scrrec2.mkv	P01-Honza	965.5	670.9	-	-	-	-	-	-
1176479.2	08:40:17:549	P01-Honza-scrrec2.mkv	P01-Honza	963.3	671.6	-	-	-	-	-	-
1176483.7	08:40:17:554	P01-Honza-scrrec2.mkv	P01-Honza	965.1	674.5	-	-	-	-	-	-
1176487.4	08:40:17:557	P01-Honza-scrrec2.mkv	P01-Honza	965.3	676.0	-	-	-	-	-	-
1176493.1	08:40:17:563	P01-Honza-scrrec2.mkv	P01-Honza	963.9	675.3	-	-	-	-	-	-
1176497.3	08:40:17:567	P01-Honza-scrrec2.mkv	P01-Honza	962.6	675.5	-	-	-	-	-	-
1176501.3	08:40:17:571	P01-Honza-scrrec2.mkv	P01-Honza	961.1	673.2	-	-	-	-	-	-
1176505.0	08:40:17:575	P01-Honza-scrrec2.mkv	P01-Honza	961.6	672.3	-	-	-	-	-	-
1176510.7	08:40:17:581	P01-Honza-scrrec2.mkv	P01-Honza	961.8	668.9	-	-	-	-	-	-
1176516.4	08:40:17:586	P01-Honza-scrrec2.mkv	P01-Honza	962.1	666.3	-	-	-	-	-	-
1176520.0	08:40:17:590	P01-Honza-scrrec2.mkv	P01-Honza	963.5	668.0	-	-	-	-	-	-
1176523.6	08:40:17:594	P01-Honza-scrrec2.mkv	P01-Honza	962.9	666.0	-	-	-	-	-	-
1176527.5	08:40:17:597	P01-Honza-scrrec2.mkv	P01-Honza	964.7	666.0	-	-	-	-	-	-
1176531.3	08:40:17:601	P01-Honza-scrrec2.mkv	P01-Honza	967.0	661.8	-	-	-	-	-	-
1176535.0	08:40:17:605	P01-Honza-scrrec2.mkv	P01-Honza	964.3	660.0	-	-	-	-	-	-
1176538.7	08:40:17:609	P01-Honza-scrrec2.mkv	P01-Honza	963.8	659.2	-	-	-	-	-	-
1176542.6	08:40:17:612	P01-Honza-scrrec2.mkv	P01-Honza	962.7	657.4	-	-	-	-	-	-
1176546.5	08:40:17:616	P01-Honza-scrrec2.mkv	P01-Honza	961.8	657.0	-	-	-	-	-	-
1176551.5	08:40:17:621	P01-Honza-scrrec2.mkv	P01-Honza	960.0	654.9	-	-	-	-	-	-
1176555.2	08:40:17:625	P01-Honza-scrrec2.mkv	P01-Honza	957.4	653.2	-	-	-	-	-	-
1176558.9	08:40:17:629	P01-Honza-scrrec2.mkv	P01-Honza	955.0	651.2	-	-	-	-	-	-
1176564.3	08:40:17:634	P01-Honza-scrrec2.mkv	P01-Honza	952.8	648.9	-	-	-	-	-	-
1176568.0	08:40:17:638	P01-Honza-scrrec2.mkv	P01-Honza	951.7	647.1	-	-	-	-	-	-
1176571.6	08:40:17:642	P01-Honza-scrrec2.mkv	P01-Honza	952.8	645.6	-	-	-	-	-	-
1176577.5	08:40:17:647	P01-Honza-scrrec2.mkv	P01-Honza	951.3	642.7	-	-	-	-	-	-
1176583.2	08:40:17:653	P01-Honza-scrrec2.mkv	P01-Honza	952.7	640.1	-	-	-	-	-	-
1176587.1	08:40:17:657	P01-Honza-scrrec2.mkv	P01-Honza	954.8	635.2	-	-	-	-	-	-
1176591.9	08:40:17:662	P01-Honza-scrrec2.mkv	P01-Honza	956.7	628.0	-	-	-	-	-	-
1176595.6	08:40:17:666	P01-Honza-scrrec2.mkv	P01-Honza	958.8	630.2	-	-	-	-	-	-
1176601.3	08:40:17:671	P01-Honza-scrrec2.mkv	P01-Honza	962.4	625.3	-	-	-	-	-	-
1176605.0	08:40:17:675	P01-Honza-scrrec2.mkv	P01-Honza	964.6	629.1	-	-	-	-	-	-
1176608.6	08:40:17:678	P01-Honza-scrrec2.mkv	P01-Honza	967.7	633.1	-	-	-	-	-	-
1176612.5	08:40:17:682	P01-Honza-scrrec2.mkv	P01-Honza	968.6	634.1	-	-	-	-	-	-
1176618.1	08:40:17:688	P01-Honza-scrrec2.mkv	P01-Honza	973.4	646.9	-	-	-	-	-	-
1176622.6	08:40:17:693	P01-Honza-scrrec2.mkv	P01-Honza	975.7	645.3	-	-	-	-	-	-
1176626.3	08:40:17:696	P01-Honza-scrrec2.mkv	P01-Honza	981.4	643.9	-	-	-	-	-	-
1176630.1	08:40:17:700	P01-Honza-scrrec2.mkv	P01-Honza	984.0	636.0	-	-	-	-	-	-
1176634.6	08:40:17:704	P01-Honza-scrrec2.mkv	P01-Honza	978.2	631.5	-	-	-	-	-	-
1176638.5	08:40:17:708	P01-Honza-scrrec2.mkv	P01-Honza	981.7	624.1	-	-	-	-	-	-
1176642.2	08:40:17:712	P01-Honza-scrrec2.mkv	P01-Honza	984.2	655.1	-	-	-	-	-	-
1176645.9	08:40:17:716	P01-Honza-scrrec2.mkv	P01-Honza	982.9	652.2	-	-	-	-	-	-
1176649.8	08:40:17:720	P01-Honza-scrrec2.mkv	P01-Honza	982.4	646.1	-	-	-	-	-	-
1176655.2	08:40:17:725	P01-Honza-scrrec2.mkv	P01-Honza	979.9	626.2	-	-	-	-	-	-
1176660.6	08:40:17:730	P01-Honza-scrrec2.mkv	P01-Honza	983.5	653.4	-	-	-	-	-	-
1176664.4	08:40:17:734	P01-Honza-scrrec2.mkv	P01-Honza	978.1	630.8	-	-	-	-	-	-
1176668.4	08:40:17:738	P01-Honza-scrrec2.mkv	P01-Honza	963.9	621.9	-	-	-	-	-	-
1176673.7	08:40:17:744	P01-Honza-scrrec2.mkv	P01-Honza	961.4	626.5	-	-	-	-	-	-
1176677.6	08:40:17:747	P01-Honza-scrrec2.mkv	P01-Honza	955.8	624.7	-	-	-	-	-	-
1176681.3	08:40:17:751	P01-Honza-scrrec2.mkv	P01-Honza	951.9	616.3	-	-	-	-	-	-
1176685.1	08:40:17:755	P01-Honza-scrrec2.mkv	P01-Honza	949.8	613.5	-	-	-	-	-	-
