,ind,Zoom_level,Format_RT,Longitude,Latitude
54,54,7.0,237.89999999990687,15.096287727355964,49.13407487801863
55,55,7.0,241.6999999997206,15.047947613434909,49.08948799507847
56,56,7.0,247.0,14.893040648844046,49.14126261470575
57,57,7.0,250.60000000009313,14.933690198656883,49.17503110363152
58,58,7.0,254.5,14.878758555815839,49.197291542128646
59,59,7.0,258.5,14.834813241542994,49.18149494224469
60,60,7.0,263.79999999981374,14.81284058440657,49.199445133580205
61,61,7.0,269.0,14.853490134219408,49.20734097932804
62,62,7.0,272.89999999990687,14.873265391531726,49.20375203516596
63,63,7.0,276.60000000009313,14.864476462787607,49.2231293266681
64,64,7.0,281.89999999990687,14.872166356343525,49.15204226540783
65,65,7.0,285.60000000009313,14.916111670616372,48.981449866106374
66,66,7.0,289.39999999990687,14.91061850633226,49.00884163067662
67,67,7.0,293.10000000009313,14.991917605957935,48.983612840392
68,68,7.0,297.29999999981374,15.195164684469853,49.02181137392862
69,69,7.0,302.60000000009313,14.974339748469722,49.030456138703634
70,70,7.0,306.39999999990687,14.95676122042921,49.03981942265386
71,71,7.0,310.39999999990687,14.98202964202564,49.11250541368773
72,72,7.0,315.10000000009313,14.964451784537426,49.062140175488445
73,73,7.0,320.39999999990687,14.890843249019941,49.21164763130511
74,74,7.0,325.6999999997206,14.872166356343525,49.088048942173366
75,75,7.0,329.60000000009313,14.936985963116891,49.08876825427086
76,76,7.0,333.1999999997206,14.97324071328152,49.10243671634123
77,77,7.0,336.89999999990687,14.958958620253314,49.05566120188677
78,78,7.0,340.5,14.913914941344565,49.06070076948676
79,79,7.0,344.5,14.963353419901498,49.06430008503186
80,80,7.0,348.5,14.950169691509194,48.87245415834406
81,81,7.0,353.79999999981374,14.9413807627651,48.94466317786193
82,82,7.0,357.5,14.935887598480988,48.92806443150236
83,83,7.0,361.29999999981374,14.938084327752794,48.97135415794929
84,84,7.0,364.79999999981374,14.95786025561741,49.02253164513726
85,85,7.0,370.1999999997206,14.938084327752794,48.99154308963111
86,86,7.0,374.10000000009313,14.96555014917333,49.06070076948676
87,87,7.0,377.89999999990687,14.927097999184596,49.02469327562525
88,88,7.0,383.1999999997206,14.95676122042921,49.06933833740691
89,89,7.0,388.29999999981374,14.96884658418561,49.07725537475215
90,90,7.0,394.1999999997206,15.024876591662583,49.08732918050497
91,91,7.0,398.0,14.954563820605106,49.13119975474423
92,92,7.0,401.5,15.014988627730288,49.12832402593413
93,93,7.0,405.0,14.983128677213841,49.146293497932724
94,94,7.0,410.5,15.001805569890257,49.13766887665393
95,95,7.0,414.39999999990687,14.924901269912764,49.13479396183067
96,96,7.0,418.39999999990687,14.90402697741227,49.129043193164705
97,97,7.0,422.39999999990687,14.906224377236349,49.11753921562294
98,98,7.0,426.5,14.939183362940996,49.12041556991376
99,99,7.0,430.5,14.91171754152046,49.090926567156764
100,100,7.0,434.39999999990687,14.871067991707623,49.14701240448441
101,101,7.0,438.5,14.756809906377324,49.169285004188374
102,102,7.0,443.79999999981374,14.627171363382892,49.22456446053683
103,103,7.0,449.1999999997206,14.606297741434645,49.23173906681735
104,104,7.0,452.79999999981374,14.483250727360227,49.34424391911149
105,105,7.0,456.6999999997206,14.207493477966752,49.475769737700816
106,106,7.0,462.0,13.882298420568617,49.63327864440338
107,107,7.0,465.79999999981374,13.889988984676833,49.63612453968624
108,108,7.0,469.5,13.964695884830197,49.6097911643095
109,109,7.0,473.0,13.868016327540412,49.685194723400464
110,110,7.0,476.89999999990687,13.900975313245032,49.698697806219315
111,111,7.0,480.60000000009313,13.911961641813257,49.68021877506485
112,112,7.0,484.5,13.905369442340943,49.69088071202061
113,113,7.0,488.29999999981374,13.848241070228093,49.71859097897609
114,114,7.0,493.6999999997206,13.839451470931674,49.7228524940985
115,115,7.0,497.5,13.83725474165987,49.73421499485764
116,116,7.0,502.6999999997206,13.821873613443461,49.74273534169479
117,117,7.0,506.29999999981374,13.854832599148082,49.74131531555977
118,118,7.0,511.6999999997206,13.865818927716306,49.73847557196804
119,119,7.0,517.1999999997206,13.87021372736449,49.74486508631752
120,120,7.0,520.7999999998137,13.895482148960921,49.733505079008694
121,121,7.0,524.3999999999069,13.927342099477366,49.7228524940985
122,122,7.0,529.8999999999069,13.940525827869696,49.71219757139336
