,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
0,0,7.0,214.9,14.488743931533355,49.88876885690307,402.8
1,1,7.0,325.5,16.91342678064799,49.30844426155616,655.7
2,2,5.0,748.9,12.782604330739861,52.29684299109024,1029.1
3,3,5.0,95.1,30.39588683275497,33.971319421647635,1798.4
4,4,5.0,191.1,33.036999147669285,30.67068928211612,1923.3
5,5,5.0,138.4,32.3953986321694,31.160809169497778,2129.3
6,6,5.0,79.9,27.157113952195402,36.88197722129234,2337.2
7,7,5.0,184.2,45.33449304798165,19.07248313525592,2449.6
8,8,5.0,287.7,59.4189662724283,9.893079163999063,2685.9
9,9,4.0,653.8,67.72781769926907,-16.254588206176155,3173.1
10,10,4.0,172.3,149.37820965390245,-37.179435394437384,3895.0
11,11,4.0,200.5,134.3049668583168,-36.68766147805682,4301.0
12,12,4.0,107.5,162.82201102675177,-44.190374100579376,4543.8
13,13,4.0,130.6,176.84936392571296,-56.2838471253754,4698.6
14,14,4.0,249.9,173.78197884370107,-55.47036791218918,4856.8
15,15,5.0,1276.6,149.355942205035,-43.605965179404436,5276.8
16,16,6.0,652.8,147.42674165651616,-43.1492056479378,6576.9
17,17,8.0,244.2,147.3586882587417,-42.544521680129954,7256.9
18,18,9.0,102.4,147.2425080154648,-42.49755536654941,7552.6
19,19,9.0,60.0,147.23069757814355,-42.3702515715499,7679.7
20,20,9.0,334.3,147.06782529064742,-42.14053472533594,7778.2
21,21,9.0,134.2,146.87666324061576,-42.0667671307852,8157.7
22,22,9.0,487.5,147.44438180290572,-42.98750983556764,8360.6
23,23,9.0,852.0,147.36308303855617,-42.94510259632311,8867.6
24,24,10.0,229.7,147.4113311198244,-42.95622948526206,9740.9
25,25,10.0,1656.1,147.35255436256733,-42.93521983363227,10007.3
26,26,12.0,1367.6,147.33141710200402,-42.89398698702313,11694.6
27,27,13.0,288.1,147.3230094914585,-42.86974687469953,13105.4
28,28,13.0,411.2,147.33152389190792,-42.88032667842067,13424.5
29,29,13.0,258.4,147.32364463019695,-42.8730933614695,13869.3
