,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
0,0,7.0,110.9,14.050389110670888,49.69088016359975,187.4
1,1,7.0,54.3,17.047459409968447,48.27786213202291,401.4
2,2,7.0,122.0,17.070530431740774,48.306369624330486,520.0
3,3,6.0,523.4,16.088353740820235,47.954405781732184,692.5
4,4,5.0,56.6,16.4091540189579,46.66882428449286,1239.9
5,5,4.0,81.4,18.751441456243192,43.949886275658216,1450.6
6,6,4.0,315.0,19.17331003596061,45.090360097129704,1605.2
7,7,4.0,224.0,73.66549684821302,17.56203844488437,2051.8
8,8,4.0,100.0,90.32956860354486,11.946591475455268,2316.3
9,9,4.0,109.3,89.28366797808384,9.051880514574373,2458.4
10,10,4.0,85.6,89.83737250061976,4.549822998980718,2603.8
11,11,4.0,85.9,85.35495044478965,9.416237891976897,2709.7
12,12,4.0,103.7,167.6168966998604,-40.23463902214934,3020.2
13,13,5.0,99.8,146.6571820387829,-41.82410963586186,3585.0
14,14,5.0,176.6,147.4042523814213,-44.98692057306615,3731.9
15,15,5.0,127.2,149.02583555097286,-44.160505731686904,3979.1
16,16,6.0,357.0,148.13133358939103,-43.878352152894294,4123.2
17,17,7.0,176.9,147.82411172703095,-43.25925109493616,4576.9
18,18,8.0,321.8,147.4937593089738,-42.835959288543044,4950.1
19,19,10.0,179.1,147.5323639293341,-42.86565940889508,5339.0
