,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
0,0,7.0,329.4,14.856785359760837,49.940412185394685,658.3
1,1,7.0,142.0,21.59250447781474,46.637151145842125,1055.1
2,2,6.0,88.4,32.22723966498475,51.984956539762806,1484.1
3,3,6.0,406.8,22.633978095664617,50.7754546481582,1934.2
4,4,6.0,236.3,29.733343080000818,41.755014258197356,2401.2
5,5,5.0,162.4,-4.439468740881829,6.424355670953278,3132.9
6,6,5.0,60.1,-11.470719024536955,10.07258488977461,3343.1
7,7,5.0,249.3,49.384748961847194,19.178257618627573,3485.4
8,8,4.0,70.4,33.53289402826685,25.167565659349496,3888.7
9,9,4.0,261.1,42.56805493429828,21.798682808988303,4011.3
10,10,4.0,154.7,124.02507790287706,18.890080219708576,4395.3
11,11,4.0,333.4,146.34051063639484,-11.51188311345924,4601.5
12,12,4.0,324.1,144.90619632981355,-19.833091264006747,5009.3
13,13,4.0,334.9,129.1825607372225,-10.816282456493482,5402.3
14,14,4.0,77.0,147.68353743623155,-46.77013813158074,5837.6
15,15,4.0,138.7,158.51166931036232,-54.836276412123304,5966.6
16,16,4.0,154.7,162.1327589149101,-62.25167602083496,6163.1
17,17,5.0,96.6,143.51014647409556,-41.28013073764964,6412.0
18,18,5.0,437.6,149.02088995679392,-42.74605708669875,6570.4
19,19,6.0,2307.7,146.7049710319698,-43.55078926249077,7154.9
20,20,11.0,60.7,147.2721175994255,-42.67511916768966,9653.9
21,21,11.0,708.7,147.37614439805574,-42.935868668815125,9791.8
22,22,12.0,932.3,147.36825560014924,-42.936072767250174,10561.9
