,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
0,0,8.0,90.9,15.285252683144515,49.364996204867154,35.6
1,1,8.0,104.2,15.312718504565051,49.290530910996836,187.0
2,2,8.0,129.5,17.394078585923086,48.12592099786492,451.4
3,3,8.0,86.0,17.151280322234257,47.876350836268934,686.5
4,4,8.0,92.2,17.145237975632195,47.819210455462766,867.8
5,5,8.0,55.3,17.097996896899343,47.982354405079576,984.2
6,6,8.0,283.8,16.632176297386277,48.163673706386234,1323.4
7,7,8.0,138.3,16.08285986897573,48.337051929411096,1634.3
8,8,8.0,205.8,18.86569573328095,48.124936784332505,1796.6
9,9,8.0,214.5,19.3485450079643,48.1132018501918,2025.1
10,10,8.0,193.1,20.23953665717759,48.71370338377604,2285.4
11,11,8.0,198.5,19.557285250760305,48.553608589144446,2511.1
12,12,8.0,148.3,19.773879930849642,47.03525527414872,2848.6
13,13,8.0,135.5,19.806838916554263,47.04498877830382,3017.5
14,14,8.0,190.1,19.811782898520423,46.9704475265796,3178.3
15,15,9.0,89.9,19.243844935261194,47.36003608131309,3572.8
16,16,9.0,580.7,19.117227565567795,47.388866030556834,3778.4
17,17,11.0,157.3,19.080289809267565,47.512922532655,4531.3
18,18,12.0,1007.2,19.06359481855844,47.47654135611407,4821.4
19,19,13.0,779.0,19.05396461891992,47.465213674265584,5874.8
20,20,13.0,138.2,19.02938270665308,47.459074290752596,6694.5
21,21,14.0,111.0,19.04919433620685,47.47403496189813,7011.4
22,22,14.0,285.4,19.038628574885927,47.472892055887776,7167.7
23,23,14.0,134.0,19.05811214195612,47.473164728996075,7491.2
24,24,14.0,354.0,19.08168124786713,47.48188381427613,7693.0
25,25,14.0,185.2,19.075896267612343,47.482498676897556,8069.1
26,26,14.0,172.8,19.08047103720627,47.48331654951062,8289.1
27,27,14.0,172.7,19.076780317452894,47.49387236392117,8505.8
28,28,14.0,155.7,19.092178345682242,47.491500391183415,8718.9
29,29,14.0,127.9,19.083415034130738,47.481686590795285,8905.7
30,30,14.0,77.7,19.077561374654056,47.48280030638922,9062.9
31,31,14.0,203.3,19.075655937483965,47.483565972385485,9165.0
32,32,14.0,217.8,19.07272052677189,47.48265529276709,9399.2
33,33,14.0,472.7,19.072737694023818,47.51181485626068,9661.0
34,34,14.0,302.9,19.059811593913246,47.51051623807469,10178.9
35,35,14.0,247.4,19.059408188613393,47.5170379932261,10518.6
36,36,14.0,68.8,19.058747291237736,47.51582066045847,10792.1
37,37,14.0,80.4,19.059940339951172,47.51202356016843,10892.5
38,38,14.0,825.8,19.04704856897415,47.51417431824143,11086.3
39,39,14.0,52.1,19.042988778293175,47.512875756671484,11977.9
