Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	1	1.1	200.2	199.2	1063.8	728.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	1	200.2	251.4	51.1	-	-	1060.3	739.8	1006.3	614.1	3.1	3278.2	5606.5	-4308.4	59.7	121.2	33.3	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	2	251.4	769.6	518.2	1008.3	583.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	2	769.6	804.7	35.1	-	-	1009.6	558.8	877.9	567.9	2.6	4739.8	6522.1	-6277.5	74.3	137.0	47.8	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	3	804.7	1127.8	323.1	877.5	559.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	3	1127.8	1163.4	35.5	-	-	868.3	582.1	813.8	549.6	1.3	1469.2	2119.9	-2002.3	37.5	63.7	38.2	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	4	1163.4	1489.4	326.0	803.8	544.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	4	1489.4	1521.4	32.0	-	-	803.9	553.8	923.9	550.8	2.5	5535.0	7800.0	-7256.7	79.2	172.9	58.3	-	-	-
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	5	1521.4	2229.2	707.8	952.8	580.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
