Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	1	0.7	251.5	250.9	720.3	452.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	1	251.5	299.1	47.6	-	-	726.8	462.0	788.8	464.9	1.3	1432.3	2367.9	-1787.0	26.9	51.0	46.0	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	2	299.1	601.2	302.1	794.4	468.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	2	601.2	645.9	44.7	-	-	795.7	475.9	949.4	646.0	4.4	6817.7	11838.7	-10020.7	98.8	241.5	29.2	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	3	645.9	820.7	174.8	955.6	637.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	3	820.7	875.5	54.9	-	-	948.7	636.6	792.5	656.1	3.4	3779.8	6059.1	-5254.1	61.6	133.5	43.8	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	4	875.5	1059.6	184.1	791.5	653.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	5	1133.7	1347.1	213.4	763.8	563.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	4	1347.1	1410.5	63.5	-	-	760.9	569.8	1092.1	634.3	7.8	8836.2	14867.2	-14511.5	123.2	321.6	40.2	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	6	1410.5	1658.4	247.9	1088.3	638.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	5	1658.4	1713.9	55.5	-	-	1079.4	640.1	0.0	0.0	35.8	46632.2	82974.4	-98275.0	645.9	2335.3	71.4	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	1	1713.9	2852.5	1138.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	3	2427.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	4	2579.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	7	2584.3	2852.5	268.2	748.1	533.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	6	2852.5	2907.5	55.0	-	-	751.9	549.4	0.0	0.0	37.0	46150.6	76088.1	-103422.3	671.8	2405.9	72.8	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	2	2907.5	3274.8	367.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	7	3274.8	3333.2	58.5	-	-	0.0	0.0	852.9	582.8	29.4	38298.3	81726.7	-73765.0	503.6	1950.3	21.6	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	8	3333.2	3623.2	290.0	865.3	593.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	8	3623.2	3695.5	72.2	-	-	865.4	596.2	786.3	560.3	2.1	1566.2	3457.3	-2905.1	28.8	75.0	32.2	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	9	3695.5	3835.0	139.6	794.5	559.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	9	3835.0	3881.1	46.1	-	-	795.6	559.8	987.5	571.2	4.1	6359.4	9618.2	-8829.3	88.1	199.0	40.3	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	10	3881.1	4058.5	177.4	984.8	567.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	10	4058.5	4104.3	45.8	-	-	986.3	565.7	1117.7	552.0	3.1	4840.2	7693.8	-7277.8	66.8	169.3	38.9	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	11	4104.3	4442.8	338.6	1113.5	547.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	5	4254.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	11	4442.8	4503.0	60.1	-	-	1113.8	568.0	0.0	0.0	45.8	52058.9	85824.4	-113533.1	762.4	2684.8	76.7	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	3	4503.0	4906.8	403.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	6	4987.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	12	5008.4	5125.4	117.0	717.4	616.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	12	5125.4	5169.5	44.1	-	-	721.9	641.2	765.3	570.9	1.8	2104.2	3709.7	-2654.6	40.2	81.8	38.8	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	4	5282.4	5618.3	335.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	13	5618.3	5722.4	104.1	-	-	0.0	0.0	702.2	501.8	64.5	35348.4	121748.5	-93081.2	619.9	2776.4	24.1	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	7	5667.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	8	5787.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	13	5797.9	6149.4	351.5	733.0	574.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	14	6149.4	6207.6	58.2	-	-	730.9	577.4	1051.1	659.1	7.0	8933.5	16511.2	-15742.9	120.6	340.3	37.7	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	14	6207.6	6446.1	238.5	1030.4	673.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	15	6446.1	6502.2	56.1	-	-	1029.1	684.9	875.2	685.9	3.3	3416.9	5617.3	-3976.9	59.2	118.9	33.2	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	16	6549.8	6600.3	50.5	-	-	884.3	683.0	0.0	0.0	36.1	50779.4	77950.7	-92198.7	713.3	2184.3	70.6	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	5	6600.3	7141.8	541.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	9	7219.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	15	7246.1	7545.6	299.6	862.0	577.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	17	7545.6	7622.6	77.0	-	-	858.2	589.9	783.8	549.0	2.0	928.8	2108.1	-1260.4	26.3	52.5	26.4	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	16	7622.6	7975.0	352.4	794.8	535.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	18	7975.0	8026.1	51.1	-	-	792.8	528.4	690.1	533.5	2.2	2336.7	3603.8	-3053.5	43.6	79.1	40.9	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	17	8026.1	8250.8	224.7	695.9	526.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	18	8383.4	8479.7	96.4	578.7	592.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
