Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	1	1.5	375.7	374.2	896.8	428.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	1	375.7	398.3	22.6	-	-	871.4	419.8	911.3	420.9	0.6	944.5	1504.8	-1023.4	26.6	49.9	63.7	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	2	398.3	494.0	95.7	907.7	445.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	2	494.0	526.4	32.4	-	-	917.5	472.5	923.3	633.4	3.5	7702.3	10786.7	-10468.6	107.1	256.8	60.6	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	3	526.4	668.7	142.2	911.0	635.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	4	690.7	970.2	279.5	882.6	681.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	3	970.2	1016.1	46.0	-	-	902.9	662.8	768.3	585.4	3.3	3711.8	5683.9	-4950.2	72.5	149.9	29.2	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	5	1016.1	1479.2	463.1	733.2	550.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	4	1479.2	1521.8	42.6	-	-	743.1	558.6	961.2	661.7	5.3	9015.5	13281.2	-12796.4	124.2	288.8	40.4	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	6	1521.8	1667.3	145.5	972.4	675.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	5	1667.3	1742.5	75.3	-	-	960.1	670.5	1046.9	703.3	3.1	1340.1	2014.0	-3072.7	41.8	68.7	75.7	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	6	1772.2	1794.6	22.4	-	-	1048.2	700.2	1009.7	685.4	0.7	1468.4	2385.5	-2010.3	33.0	61.7	64.0	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	7	1831.8	1886.7	54.9	1030.4	676.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	8	1908.1	2001.2	93.1	1052.7	685.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	7	2001.2	2042.6	41.4	-	-	1039.2	683.9	756.4	560.1	6.5	10859.7	16008.5	-14723.7	157.3	324.5	48.5	-	-	-
