RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1074476.2	08:38:35:546	P01-Honza-scrrec.mkv	P01-Honza	-	-	-	-	-	-	-	p01-honza-scrrec.mkv
1074477.2	08:38:35:547	P01-Honza-scrrec.mkv	P01-Honza	1065.2	719.4	-	-	-	-	-	-
1074481.6	08:38:35:551	P01-Honza-scrrec.mkv	P01-Honza	1065.8	717.9	-	-	-	-	-	-
1074485.4	08:38:35:555	P01-Honza-scrrec.mkv	P01-Honza	1063.7	719.7	-	-	-	-	-	-
1074489.4	08:38:35:559	P01-Honza-scrrec.mkv	P01-Honza	1064.9	719.9	-	-	-	-	-	-
1074493.1	08:38:35:563	P01-Honza-scrrec.mkv	P01-Honza	1064.3	721.2	-	-	-	-	-	-
1074498.5	08:38:35:568	P01-Honza-scrrec.mkv	P01-Honza	1070.2	717.5	-	-	-	-	-	-
1074502.2	08:38:35:572	P01-Honza-scrrec.mkv	P01-Honza	1065.6	714.9	-	-	-	-	-	-
1074506.3	08:38:35:576	P01-Honza-scrrec.mkv	P01-Honza	1066.5	718.1	-	-	-	-	-	-
1074510.1	08:38:35:580	P01-Honza-scrrec.mkv	P01-Honza	1065.2	719.4	-	-	-	-	-	-
1074515.5	08:38:35:585	P01-Honza-scrrec.mkv	P01-Honza	1064.6	716.5	-	-	-	-	-	-
1074521.0	08:38:35:591	P01-Honza-scrrec.mkv	P01-Honza	1062.3	726.0	-	-	-	-	-	-
1074524.9	08:38:35:595	P01-Honza-scrrec.mkv	P01-Honza	1063.7	720.9	-	-	-	-	-	-
1074528.7	08:38:35:599	P01-Honza-scrrec.mkv	P01-Honza	1062.5	721.8	-	-	-	-	-	-
1074534.1	08:38:35:604	P01-Honza-scrrec.mkv	P01-Honza	1067.4	715.8	-	-	-	-	-	-
1074539.6	08:38:35:609	P01-Honza-scrrec.mkv	P01-Honza	1065.7	716.2	-	-	-	-	-	-
1074543.6	08:38:35:613	P01-Honza-scrrec.mkv	P01-Honza	1066.1	723.5	-	-	-	-	-	-
1074547.2	08:38:35:617	P01-Honza-scrrec.mkv	P01-Honza	1069.0	717.6	-	-	-	-	-	-
1074552.7	08:38:35:623	P01-Honza-scrrec.mkv	P01-Honza	1067.3	725.9	-	-	-	-	-	-
1074556.4	08:38:35:626	P01-Honza-scrrec.mkv	P01-Honza	1066.5	731.1	-	-	-	-	-	-
1074560.2	08:38:35:630	P01-Honza-scrrec.mkv	P01-Honza	1064.2	736.2	-	-	-	-	-	-
1074564.1	08:38:35:634	P01-Honza-scrrec.mkv	P01-Honza	1066.6	731.2	-	-	-	-	-	-
1074569.5	08:38:35:639	P01-Honza-scrrec.mkv	P01-Honza	1068.7	738.3	-	-	-	-	-	-
1074573.2	08:38:35:643	P01-Honza-scrrec.mkv	P01-Honza	1066.8	736.6	-	-	-	-	-	-
1074579.1	08:38:35:649	P01-Honza-scrrec.mkv	P01-Honza	1066.3	740.5	-	-	-	-	-	-
1074584.9	08:38:35:655	P01-Honza-scrrec.mkv	P01-Honza	1063.0	737.3	-	-	-	-	-	-
1074590.5	08:38:35:660	P01-Honza-scrrec.mkv	P01-Honza	1062.6	737.1	-	-	-	-	-	-
1074594.3	08:38:35:664	P01-Honza-scrrec.mkv	P01-Honza	1063.0	733.6	-	-	-	-	-	-
1074598.2	08:38:35:668	P01-Honza-scrrec.mkv	P01-Honza	1061.1	735.3	-	-	-	-	-	-
1074602.0	08:38:35:672	P01-Honza-scrrec.mkv	P01-Honza	1063.0	736.1	-	-	-	-	-	-
1074607.4	08:38:35:677	P01-Honza-scrrec.mkv	P01-Honza	1062.8	729.5	-	-	-	-	-	-
1074611.1	08:38:35:681	P01-Honza-scrrec.mkv	P01-Honza	1062.1	729.2	-	-	-	-	-	-
1074615.0	08:38:35:685	P01-Honza-scrrec.mkv	P01-Honza	1061.7	732.3	-	-	-	-	-	-
