RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
2365186.3	09:00:06:270	P05-Olda-scrrec.mkv	P05-Olda	-	-	-	-	-	-	-	p05-olda-scrrec.mkv
2365187.7	09:00:06:271	P05-Olda-scrrec.mkv	P05-Olda	906.5	442.9	-	-	-	-	-	-
2365191.3	09:00:06:275	P05-Olda-scrrec.mkv	P05-Olda	907.6	444.2	-	-	-	-	-	-
2365196.7	09:00:06:280	P05-Olda-scrrec.mkv	P05-Olda	909.3	445.8	-	-	-	-	-	-
2365201.9	09:00:06:286	P05-Olda-scrrec.mkv	P05-Olda	908.6	439.0	-	-	-	-	-	-
2365205.6	09:00:06:289	P05-Olda-scrrec.mkv	P05-Olda	907.1	433.8	-	-	-	-	-	-
2365209.5	09:00:06:293	P05-Olda-scrrec.mkv	P05-Olda	905.7	437.5	-	-	-	-	-	-
2365215.2	09:00:06:299	P05-Olda-scrrec.mkv	P05-Olda	882.5	433.9	-	-	-	-	-	-
2365219.0	09:00:06:303	P05-Olda-scrrec.mkv	P05-Olda	894.5	439.1	-	-	-	-	-	-
2365223.0	09:00:06:307	P05-Olda-scrrec.mkv	P05-Olda	896.6	430.7	-	-	-	-	-	-
2365227.0	09:00:06:311	P05-Olda-scrrec.mkv	P05-Olda	900.0	426.6	-	-	-	-	-	-
2365232.3	09:00:06:316	P05-Olda-scrrec.mkv	P05-Olda	897.4	422.9	-	-	-	-	-	-
2365235.9	09:00:06:320	P05-Olda-scrrec.mkv	P05-Olda	899.7	424.4	-	-	-	-	-	-
2365239.5	09:00:06:323	P05-Olda-scrrec.mkv	P05-Olda	897.2	421.9	-	-	-	-	-	-
2365243.3	09:00:06:327	P05-Olda-scrrec.mkv	P05-Olda	898.3	427.3	-	-	-	-	-	-
2365248.6	09:00:06:332	P05-Olda-scrrec.mkv	P05-Olda	898.6	424.5	-	-	-	-	-	-
2365254.1	09:00:06:338	P05-Olda-scrrec.mkv	P05-Olda	898.8	427.2	-	-	-	-	-	-
2365258.0	09:00:06:342	P05-Olda-scrrec.mkv	P05-Olda	898.7	427.9	-	-	-	-	-	-
2365261.7	09:00:06:345	P05-Olda-scrrec.mkv	P05-Olda	901.1	430.4	-	-	-	-	-	-
2365265.5	09:00:06:349	P05-Olda-scrrec.mkv	P05-Olda	901.7	431.2	-	-	-	-	-	-
2365270.9	09:00:06:355	P05-Olda-scrrec.mkv	P05-Olda	902.8	428.8	-	-	-	-	-	-
2365274.7	09:00:06:358	P05-Olda-scrrec.mkv	P05-Olda	902.3	432.4	-	-	-	-	-	-
