RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1385384.2	08:43:46:456	P02-Terka-scrrec.mkv	P02-Terka	-	-	-	-	-	-	-	p02-terka-scrrec.mkv
1385384.9	08:43:46:457	P02-Terka-scrrec.mkv	P02-Terka	714.5	439.3	-	-	-	-	-	-
1385388.9	08:43:46:461	P02-Terka-scrrec.mkv	P02-Terka	715.5	441.2	-	-	-	-	-	-
1385393.2	08:43:46:465	P02-Terka-scrrec.mkv	P02-Terka	716.5	443.4	-	-	-	-	-	-
1385397.1	08:43:46:469	P02-Terka-scrrec.mkv	P02-Terka	717.0	444.1	-	-	-	-	-	-
1385401.2	08:43:46:473	P02-Terka-scrrec.mkv	P02-Terka	716.9	445.5	-	-	-	-	-	-
1385407.6	08:43:46:479	P02-Terka-scrrec.mkv	P02-Terka	716.5	446.3	-	-	-	-	-	-
1385411.6	08:43:46:483	P02-Terka-scrrec.mkv	P02-Terka	717.4	447.4	-	-	-	-	-	-
1385415.6	08:43:46:487	P02-Terka-scrrec.mkv	P02-Terka	719.1	447.6	-	-	-	-	-	-
1385419.5	08:43:46:491	P02-Terka-scrrec.mkv	P02-Terka	719.3	445.2	-	-	-	-	-	-
1385425.0	08:43:46:497	P02-Terka-scrrec.mkv	P02-Terka	719.6	445.6	-	-	-	-	-	-
1385428.8	08:43:46:501	P02-Terka-scrrec.mkv	P02-Terka	719.4	444.8	-	-	-	-	-	-
1385432.7	08:43:46:504	P02-Terka-scrrec.mkv	P02-Terka	720.2	446.0	-	-	-	-	-	-
1385436.6	08:43:46:508	P02-Terka-scrrec.mkv	P02-Terka	720.1	446.3	-	-	-	-	-	-
1385440.5	08:43:46:512	P02-Terka-scrrec.mkv	P02-Terka	719.7	445.7	-	-	-	-	-	-
1385444.3	08:43:46:516	P02-Terka-scrrec.mkv	P02-Terka	719.6	446.3	-	-	-	-	-	-
1385448.1	08:43:46:520	P02-Terka-scrrec.mkv	P02-Terka	718.9	445.4	-	-	-	-	-	-
1385454.4	08:43:46:526	P02-Terka-scrrec.mkv	P02-Terka	718.1	445.9	-	-	-	-	-	-
1385460.0	08:43:46:532	P02-Terka-scrrec.mkv	P02-Terka	718.8	447.3	-	-	-	-	-	-
1385465.4	08:43:46:537	P02-Terka-scrrec.mkv	P02-Terka	717.8	446.3	-	-	-	-	-	-
1385469.4	08:43:46:541	P02-Terka-scrrec.mkv	P02-Terka	718.6	447.9	-	-	-	-	-	-
1385473.3	08:43:46:545	P02-Terka-scrrec.mkv	P02-Terka	718.3	449.0	-	-	-	-	-	-
1385479.1	08:43:46:551	P02-Terka-scrrec.mkv	P02-Terka	720.2	449.1	-	-	-	-	-	-
1385483.8	08:43:46:556	P02-Terka-scrrec.mkv	P02-Terka	721.0	447.9	-	-	-	-	-	-
1385488.0	08:43:46:560	P02-Terka-scrrec.mkv	P02-Terka	721.6	450.0	-	-	-	-	-	-
1385491.8	08:43:46:564	P02-Terka-scrrec.mkv	P02-Terka	721.5	448.6	-	-	-	-	-	-
1385497.3	08:43:46:569	P02-Terka-scrrec.mkv	P02-Terka	720.1	451.1	-	-	-	-	-	-
1385501.2	08:43:46:573	P02-Terka-scrrec.mkv	P02-Terka	720.2	451.3	-	-	-	-	-	-
1385505.1	08:43:46:577	P02-Terka-scrrec.mkv	P02-Terka	724.1	451.6	-	-	-	-	-	-
1385509.0	08:43:46:581	P02-Terka-scrrec.mkv	P02-Terka	725.1	455.5	-	-	-	-	-	-
1385514.5	08:43:46:586	P02-Terka-scrrec.mkv	P02-Terka	726.3	454.6	-	-	-	-	-	-
1385520.0	08:43:46:592	P02-Terka-scrrec.mkv	P02-Terka	724.6	455.0	-	-	-	-	-	-
1385524.8	08:43:46:597	P02-Terka-scrrec.mkv	P02-Terka	725.5	454.4	-	-	-	-	-	-
1385528.8	08:43:46:601	P02-Terka-scrrec.mkv	P02-Terka	722.5	455.2	-	-	-	-	-	-
1385534.2	08:43:46:606	P02-Terka-scrrec.mkv	P02-Terka	723.0	454.6	-	-	-	-	-	-
1385538.0	08:43:46:610	P02-Terka-scrrec.mkv	P02-Terka	719.1	453.9	-	-	-	-	-	-
1385542.0	08:43:46:614	P02-Terka-scrrec.mkv	P02-Terka	719.1	455.4	-	-	-	-	-	-
1385545.9	08:43:46:618	P02-Terka-scrrec.mkv	P02-Terka	720.2	456.4	-	-	-	-	-	-
1385551.5	08:43:46:623	P02-Terka-scrrec.mkv	P02-Terka	719.8	456.5	-	-	-	-	-	-
1385555.5	08:43:46:627	P02-Terka-scrrec.mkv	P02-Terka	718.0	456.6	-	-	-	-	-	-
1385559.7	08:43:46:631	P02-Terka-scrrec.mkv	P02-Terka	718.3	455.6	-	-	-	-	-	-
1385563.7	08:43:46:635	P02-Terka-scrrec.mkv	P02-Terka	717.2	456.9	-	-	-	-	-	-
1385568.4	08:43:46:640	P02-Terka-scrrec.mkv	P02-Terka	717.4	458.4	-	-	-	-	-	-
1385572.1	08:43:46:644	P02-Terka-scrrec.mkv	P02-Terka	718.2	457.8	-	-	-	-	-	-
1385576.2	08:43:46:648	P02-Terka-scrrec.mkv	P02-Terka	717.9	458.5	-	-	-	-	-	-
1385580.2	08:43:46:652	P02-Terka-scrrec.mkv	P02-Terka	717.4	461.3	-	-	-	-	-	-
1385585.9	08:43:46:658	P02-Terka-scrrec.mkv	P02-Terka	719.8	464.2	-	-	-	-	-	-
1385591.6	08:43:46:663	P02-Terka-scrrec.mkv	P02-Terka	720.8	463.8	-	-	-	-	-	-
1385595.6	08:43:46:667	P02-Terka-scrrec.mkv	P02-Terka	721.9	463.0	-	-	-	-	-	-
