Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	1	48.1	73.1	25.0	-	-	889.4	448.4	878.7	408.5	0.7	1484.6	2019.5	-1906.3	28.2	46.3	53.7	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	1	73.1	246.5	173.4	890.9	483.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	2	246.5	311.1	64.7	-	-	0.0	0.0	870.3	522.6	40.0	39390.4	103033.8	-72516.7	618.5	2432.6	24.2	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	2	311.1	665.0	353.8	878.9	543.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	3	685.8	1304.2	618.4	802.1	565.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	4	1374.5	1647.3	272.9	954.7	641.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	3	1647.3	1698.5	51.1	-	-	966.2	647.9	808.0	614.5	4.7	6368.4	12245.0	-10274.2	92.5	254.6	39.7	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	5	1698.5	1839.2	140.7	789.2	628.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	4	1839.2	1865.6	26.4	-	-	792.1	631.6	790.3	540.2	1.7	4093.3	6287.7	-5505.0	64.6	130.1	69.6	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	6	1865.6	2129.2	263.6	785.8	550.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	5	2129.2	2161.1	31.9	-	-	787.4	539.8	812.0	540.2	1.2	1587.4	3394.0	-2301.7	36.3	77.1	35.0	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	6	2161.1	2188.0	26.9	-	-	812.0	540.2	852.5	559.5	0.7	677.9	713.6	-1254.1	26.7	40.9	36.9	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	7	2188.0	2559.6	371.6	870.5	557.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	3	2334.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	7	2559.6	2584.0	24.4	-	-	871.0	557.9	758.0	567.8	1.9	4850.2	7764.6	-6309.1	79.5	166.5	67.7	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	8	2584.0	2786.1	202.1	773.3	578.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	1	2786.1	4661.3	1875.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	4	3728.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	5	3992.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	6	4255.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	8	4673.3	4708.6	35.3	-	-	870.1	628.6	882.1	626.2	5.0	6544.4	7643.6	-11188.5	141.0	242.6	77.7	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	9	4732.7	4798.1	65.5	-	-	885.8	634.3	777.8	597.0	5.6	3752.9	8636.6	-4828.6	85.9	193.9	24.1	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	9	4798.1	5031.8	233.7	764.0	579.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	10	5031.8	5057.9	26.1	-	-	747.8	560.2	983.3	575.2	4.5	11024.5	16731.0	-14710.1	171.0	352.5	46.0	-	-	-
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	7	5071.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
