RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
2152794.9	08:56:33:875	P04-Kuba-scrrec.mkv	P04-Kuba	-	-	-	-	-	-	-	p04-kuba-scrrec.mkv
2152800.5	08:56:33:881	P04-Kuba-scrrec.mkv	P04-Kuba	942.7	482.0	-	-	-	-	-	-
2152804.3	08:56:33:884	P04-Kuba-scrrec.mkv	P04-Kuba	943.0	481.8	-	-	-	-	-	-
2152809.5	08:56:33:890	P04-Kuba-scrrec.mkv	P04-Kuba	942.1	482.8	-	-	-	-	-	-
2152815.7	08:56:33:896	P04-Kuba-scrrec.mkv	P04-Kuba	940.5	480.7	-	-	-	-	-	-
2152821.5	08:56:33:902	P04-Kuba-scrrec.mkv	P04-Kuba	939.8	483.6	-	-	-	-	-	-
2152826.8	08:56:33:907	P04-Kuba-scrrec.mkv	P04-Kuba	940.2	484.9	-	-	-	-	-	-
2152830.4	08:56:33:911	P04-Kuba-scrrec.mkv	P04-Kuba	939.1	485.9	-	-	-	-	-	-
2152834.5	08:56:33:915	P04-Kuba-scrrec.mkv	P04-Kuba	942.7	488.7	-	-	-	-	-	-
2152838.4	08:56:33:918	P04-Kuba-scrrec.mkv	P04-Kuba	942.2	492.7	-	-	-	-	-	-
2152842.4	08:56:33:923	P04-Kuba-scrrec.mkv	P04-Kuba	938.8	493.5	-	-	-	-	-	-
2152846.3	08:56:33:926	P04-Kuba-scrrec.mkv	P04-Kuba	937.1	494.7	-	-	-	-	-	-
2152852.0	08:56:33:932	P04-Kuba-scrrec.mkv	P04-Kuba	938.6	494.0	-	-	-	-	-	-
2152855.8	08:56:33:936	P04-Kuba-scrrec.mkv	P04-Kuba	938.0	495.6	-	-	-	-	-	-
2152859.5	08:56:33:940	P04-Kuba-scrrec.mkv	P04-Kuba	936.6	493.1	-	-	-	-	-	-
