RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1671852.2	08:48:32:928	P03-Radek-scrrec.mkv	P03-Radek	-	-	-	-	-	-	-	p03-radek-scrrec.mkv
1671855.3	08:48:32:931	P03-Radek-scrrec.mkv	P03-Radek	876.8	447.8	-	-	-	-	-	-
1671859.1	08:48:32:935	P03-Radek-scrrec.mkv	P03-Radek	880.3	446.3	-	-	-	-	-	-
1671862.9	08:48:32:939	P03-Radek-scrrec.mkv	P03-Radek	881.5	447.7	-	-	-	-	-	-
1671866.9	08:48:32:943	P03-Radek-scrrec.mkv	P03-Radek	882.9	445.6	-	-	-	-	-	-
1671870.7	08:48:32:946	P03-Radek-scrrec.mkv	P03-Radek	885.3	443.8	-	-	-	-	-	-
1671876.1	08:48:32:952	P03-Radek-scrrec.mkv	P03-Radek	886.5	443.5	-	-	-	-	-	-
1671881.6	08:48:32:957	P03-Radek-scrrec.mkv	P03-Radek	889.0	444.5	-	-	-	-	-	-
1671885.5	08:48:32:961	P03-Radek-scrrec.mkv	P03-Radek	890.1	444.8	-	-	-	-	-	-
1671889.3	08:48:32:965	P03-Radek-scrrec.mkv	P03-Radek	891.2	446.4	-	-	-	-	-	-
1671894.8	08:48:32:971	P03-Radek-scrrec.mkv	P03-Radek	890.6	446.7	-	-	-	-	-	-
1671900.3	08:48:32:976	P03-Radek-scrrec.mkv	P03-Radek	889.4	448.4	-	-	-	-	-	-
1671904.5	08:48:32:980	P03-Radek-scrrec.mkv	P03-Radek	887.2	445.2	-	-	-	-	-	-
1671908.3	08:48:32:984	P03-Radek-scrrec.mkv	P03-Radek	884.7	434.1	-	-	-	-	-	-
1671913.8	08:48:32:990	P03-Radek-scrrec.mkv	P03-Radek	882.8	424.7	-	-	-	-	-	-
1671917.6	08:48:32:993	P03-Radek-scrrec.mkv	P03-Radek	880.4	413.6	-	-	-	-	-	-
1671921.5	08:48:32:997	P03-Radek-scrrec.mkv	P03-Radek	876.5	409.8	-	-	-	-	-	-
1671925.3	08:48:33:001	P03-Radek-scrrec.mkv	P03-Radek	878.7	408.5	-	-	-	-	-	-
1671930.9	08:48:33:007	P03-Radek-scrrec.mkv	P03-Radek	878.6	409.5	-	-	-	-	-	-
1671934.9	08:48:33:011	P03-Radek-scrrec.mkv	P03-Radek	879.3	408.8	-	-	-	-	-	-
1671938.8	08:48:33:015	P03-Radek-scrrec.mkv	P03-Radek	879.0	405.4	-	-	-	-	-	-
1671944.9	08:48:33:021	P03-Radek-scrrec.mkv	P03-Radek	884.5	407.1	-	-	-	-	-	-
1671950.7	08:48:33:026	P03-Radek-scrrec.mkv	P03-Radek	878.4	401.3	-	-	-	-	-	-
1671954.5	08:48:33:030	P03-Radek-scrrec.mkv	P03-Radek	881.3	400.0	-	-	-	-	-	-
1671958.3	08:48:33:034	P03-Radek-scrrec.mkv	P03-Radek	885.0	400.9	-	-	-	-	-	-
1671963.8	08:48:33:040	P03-Radek-scrrec.mkv	P03-Radek	888.5	403.1	-	-	-	-	-	-
1671967.5	08:48:33:043	P03-Radek-scrrec.mkv	P03-Radek	888.9	405.5	-	-	-	-	-	-
