RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1112630.8	08:39:13:701	P01-Honza-scrrec1.mkv	P01-Honza	-	-	-	-	-	-	-	p01-honza-scrrec1.mkv
1112633.2	08:39:13:703	P01-Honza-scrrec1.mkv	P01-Honza	1082.9	436.4	-	-	-	-	-	-
1112637.5	08:39:13:708	P01-Honza-scrrec1.mkv	P01-Honza	1081.0	427.7	-	-	-	-	-	-
1112641.2	08:39:13:711	P01-Honza-scrrec1.mkv	P01-Honza	1080.8	431.9	-	-	-	-	-	-
1112645.0	08:39:13:715	P01-Honza-scrrec1.mkv	P01-Honza	1081.4	431.9	-	-	-	-	-	-
1112649.2	08:39:13:719	P01-Honza-scrrec1.mkv	P01-Honza	1081.3	428.5	-	-	-	-	-	-
1112653.2	08:39:13:723	P01-Honza-scrrec1.mkv	P01-Honza	1079.9	423.5	-	-	-	-	-	-
1112657.0	08:39:13:727	P01-Honza-scrrec1.mkv	P01-Honza	1079.8	427.5	-	-	-	-	-	-
1112661.1	08:39:13:731	P01-Honza-scrrec1.mkv	P01-Honza	1077.7	428.8	-	-	-	-	-	-
1112667.0	08:39:13:737	P01-Honza-scrrec1.mkv	P01-Honza	1077.2	432.7	-	-	-	-	-	-
1112671.0	08:39:13:741	P01-Honza-scrrec1.mkv	P01-Honza	1076.1	429.7	-	-	-	-	-	-
1112674.8	08:39:13:745	P01-Honza-scrrec1.mkv	P01-Honza	1074.9	432.2	-	-	-	-	-	-
1112678.5	08:39:13:749	P01-Honza-scrrec1.mkv	P01-Honza	1073.2	430.3	-	-	-	-	-	-
1112684.3	08:39:13:755	P01-Honza-scrrec1.mkv	P01-Honza	1073.2	430.1	-	-	-	-	-	-
1112688.3	08:39:13:759	P01-Honza-scrrec1.mkv	P01-Honza	1076.1	428.6	-	-	-	-	-	-
