RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	-	-	-	-	-	-	-	p04-kuba-scrrec1.mkv
2182056.5	08:57:03:137	P04-Kuba-scrrec1.mkv	P04-Kuba	929.2	436.2	-	-	-	-	-	-
2182062.0	08:57:03:142	P04-Kuba-scrrec1.mkv	P04-Kuba	928.7	434.5	-	-	-	-	-	-
2182067.5	08:57:03:148	P04-Kuba-scrrec1.mkv	P04-Kuba	931.8	438.1	-	-	-	-	-	-
2182071.3	08:57:03:152	P04-Kuba-scrrec1.mkv	P04-Kuba	928.3	456.3	-	-	-	-	-	-
2182074.9	08:57:03:155	P04-Kuba-scrrec1.mkv	P04-Kuba	923.7	449.6	-	-	-	-	-	-
2182080.5	08:57:03:161	P04-Kuba-scrrec1.mkv	P04-Kuba	921.7	528.8	-	-	-	-	-	-
2182084.3	08:57:03:165	P04-Kuba-scrrec1.mkv	P04-Kuba	922.9	630.8	-	-	-	-	-	-
2182088.2	08:57:03:168	P04-Kuba-scrrec1.mkv	P04-Kuba	920.8	669.2	-	-	-	-	-	-
2182091.8	08:57:03:172	P04-Kuba-scrrec1.mkv	P04-Kuba	920.9	662.1	-	-	-	-	-	-
2182095.4	08:57:03:176	P04-Kuba-scrrec1.mkv	P04-Kuba	918.9	669.3	-	-	-	-	-	-
2182099.1	08:57:03:179	P04-Kuba-scrrec1.mkv	P04-Kuba	919.2	663.8	-	-	-	-	-	-
2182104.8	08:57:03:185	P04-Kuba-scrrec1.mkv	P04-Kuba	923.0	661.6	-	-	-	-	-	-
2182108.6	08:57:03:189	P04-Kuba-scrrec1.mkv	P04-Kuba	922.9	664.7	-	-	-	-	-	-
2182112.3	08:57:03:193	P04-Kuba-scrrec1.mkv	P04-Kuba	921.8	663.2	-	-	-	-	-	-
2182117.8	08:57:03:198	P04-Kuba-scrrec1.mkv	P04-Kuba	918.8	667.7	-	-	-	-	-	-
2182121.5	08:57:03:202	P04-Kuba-scrrec1.mkv	P04-Kuba	920.1	664.2	-	-	-	-	-	-
2182126.7	08:57:03:207	P04-Kuba-scrrec1.mkv	P04-Kuba	917.7	661.5	-	-	-	-	-	-
2182130.4	08:57:03:211	P04-Kuba-scrrec1.mkv	P04-Kuba	916.7	662.3	-	-	-	-	-	-
2182135.8	08:57:03:216	P04-Kuba-scrrec1.mkv	P04-Kuba	915.9	659.1	-	-	-	-	-	-
2182141.1	08:57:03:221	P04-Kuba-scrrec1.mkv	P04-Kuba	915.3	656.4	-	-	-	-	-	-
2182144.8	08:57:03:225	P04-Kuba-scrrec1.mkv	P04-Kuba	916.5	657.1	-	-	-	-	-	-
2182148.5	08:57:03:229	P04-Kuba-scrrec1.mkv	P04-Kuba	916.6	654.0	-	-	-	-	-	-
2182153.9	08:57:03:234	P04-Kuba-scrrec1.mkv	P04-Kuba	915.8	656.2	-	-	-	-	-	-
2182157.7	08:57:03:238	P04-Kuba-scrrec1.mkv	P04-Kuba	914.9	653.6	-	-	-	-	-	-
2182161.2	08:57:03:242	P04-Kuba-scrrec1.mkv	P04-Kuba	914.3	656.2	-	-	-	-	-	-
2182164.9	08:57:03:245	P04-Kuba-scrrec1.mkv	P04-Kuba	914.7	653.0	-	-	-	-	-	-
2182170.7	08:57:03:251	P04-Kuba-scrrec1.mkv	P04-Kuba	913.8	653.4	-	-	-	-	-	-
2182174.4	08:57:03:255	P04-Kuba-scrrec1.mkv	P04-Kuba	914.7	655.2	-	-	-	-	-	-
2182178.4	08:57:03:259	P04-Kuba-scrrec1.mkv	P04-Kuba	915.0	659.9	-	-	-	-	-	-
2182182.4	08:57:03:263	P04-Kuba-scrrec1.mkv	P04-Kuba	916.0	662.1	-	-	-	-	-	-
2182187.8	08:57:03:268	P04-Kuba-scrrec1.mkv	P04-Kuba	916.8	666.2	-	-	-	-	-	-
2182193.2	08:57:03:274	P04-Kuba-scrrec1.mkv	P04-Kuba	917.5	664.0	-	-	-	-	-	-
2182197.0	08:57:03:277	P04-Kuba-scrrec1.mkv	P04-Kuba	918.7	666.0	-	-	-	-	-	-
2182200.6	08:57:03:281	P04-Kuba-scrrec1.mkv	P04-Kuba	919.6	668.5	-	-	-	-	-	-
2182206.1	08:57:03:286	P04-Kuba-scrrec1.mkv	P04-Kuba	920.1	670.2	-	-	-	-	-	-
2182210.0	08:57:03:290	P04-Kuba-scrrec1.mkv	P04-Kuba	920.4	670.9	-	-	-	-	-	-
2182213.6	08:57:03:294	P04-Kuba-scrrec1.mkv	P04-Kuba	918.6	670.0	-	-	-	-	-	-
2182218.9	08:57:03:299	P04-Kuba-scrrec1.mkv	P04-Kuba	920.4	670.3	-	-	-	-	-	-
2182224.7	08:57:03:305	P04-Kuba-scrrec1.mkv	P04-Kuba	921.1	665.1	-	-	-	-	-	-
2182228.6	08:57:03:309	P04-Kuba-scrrec1.mkv	P04-Kuba	922.2	664.0	-	-	-	-	-	-
2182232.2	08:57:03:312	P04-Kuba-scrrec1.mkv	P04-Kuba	922.9	665.0	-	-	-	-	-	-
2182235.9	08:57:03:316	P04-Kuba-scrrec1.mkv	P04-Kuba	922.4	660.0	-	-	-	-	-	-
2182241.6	08:57:03:322	P04-Kuba-scrrec1.mkv	P04-Kuba	924.1	660.9	-	-	-	-	-	-
2182245.3	08:57:03:326	P04-Kuba-scrrec1.mkv	P04-Kuba	925.7	657.1	-	-	-	-	-	-
2182250.3	08:57:03:331	P04-Kuba-scrrec1.mkv	P04-Kuba	925.4	659.1	-	-	-	-	-	-
2182253.8	08:57:03:334	P04-Kuba-scrrec1.mkv	P04-Kuba	925.9	655.6	-	-	-	-	-	-
2182259.4	08:57:03:340	P04-Kuba-scrrec1.mkv	P04-Kuba	923.5	655.3	-	-	-	-	-	-
2182265.1	08:57:03:345	P04-Kuba-scrrec1.mkv	P04-Kuba	924.8	656.1	-	-	-	-	-	-
2182268.6	08:57:03:349	P04-Kuba-scrrec1.mkv	P04-Kuba	924.8	659.5	-	-	-	-	-	-
2182272.2	08:57:03:353	P04-Kuba-scrrec1.mkv	P04-Kuba	922.4	661.9	-	-	-	-	-	-
2182275.9	08:57:03:356	P04-Kuba-scrrec1.mkv	P04-Kuba	921.0	662.9	-	-	-	-	-	-
2182279.7	08:57:03:360	P04-Kuba-scrrec1.mkv	P04-Kuba	920.1	664.1	-	-	-	-	-	-
2182283.6	08:57:03:364	P04-Kuba-scrrec1.mkv	P04-Kuba	922.9	670.2	-	-	-	-	-	-
2182287.3	08:57:03:368	P04-Kuba-scrrec1.mkv	P04-Kuba	925.9	669.5	-	-	-	-	-	-
2182291.1	08:57:03:371	P04-Kuba-scrrec1.mkv	P04-Kuba	921.2	674.1	-	-	-	-	-	-
2182296.6	08:57:03:377	P04-Kuba-scrrec1.mkv	P04-Kuba	919.9	687.8	-	-	-	-	-	-
2182300.2	08:57:03:381	P04-Kuba-scrrec1.mkv	P04-Kuba	921.7	692.4	-	-	-	-	-	-
2182303.7	08:57:03:384	P04-Kuba-scrrec1.mkv	P04-Kuba	924.8	691.1	-	-	-	-	-	-
2182309.2	08:57:03:389	P04-Kuba-scrrec1.mkv	P04-Kuba	927.7	687.1	-	-	-	-	-	-
2182314.7	08:57:03:395	P04-Kuba-scrrec1.mkv	P04-Kuba	935.1	695.6	-	-	-	-	-	-
2182320.1	08:57:03:400	P04-Kuba-scrrec1.mkv	P04-Kuba	932.0	695.4	-	-	-	-	-	-
2182323.8	08:57:03:404	P04-Kuba-scrrec1.mkv	P04-Kuba	932.7	694.3	-	-	-	-	-	-
2182329.8	08:57:03:410	P04-Kuba-scrrec1.mkv	P04-Kuba	929.8	684.8	-	-	-	-	-	-
2182333.5	08:57:03:414	P04-Kuba-scrrec1.mkv	P04-Kuba	924.4	672.2	-	-	-	-	-	-
2182337.0	08:57:03:417	P04-Kuba-scrrec1.mkv	P04-Kuba	923.0	653.4	-	-	-	-	-	-
2182340.6	08:57:03:421	P04-Kuba-scrrec1.mkv	P04-Kuba	921.2	641.7	-	-	-	-	-	-
2182344.3	08:57:03:425	P04-Kuba-scrrec1.mkv	P04-Kuba	926.3	649.6	-	-	-	-	-	-
2182348.3	08:57:03:429	P04-Kuba-scrrec1.mkv	P04-Kuba	933.2	646.7	-	-	-	-	-	-
2182352.0	08:57:03:432	P04-Kuba-scrrec1.mkv	P04-Kuba	924.4	650.9	-	-	-	-	-	-
2182355.8	08:57:03:436	P04-Kuba-scrrec1.mkv	P04-Kuba	920.5	656.5	-	-	-	-	-	-
2182360.0	08:57:03:440	P04-Kuba-scrrec1.mkv	P04-Kuba	916.6	652.0	-	-	-	-	-	-
2182364.0	08:57:03:444	P04-Kuba-scrrec1.mkv	P04-Kuba	916.8	657.4	-	-	-	-	-	-
2182368.7	08:57:03:449	P04-Kuba-scrrec1.mkv	P04-Kuba	913.3	653.0	-	-	-	-	-	-
2182372.4	08:57:03:453	P04-Kuba-scrrec1.mkv	P04-Kuba	909.9	653.1	-	-	-	-	-	-
2182377.8	08:57:03:458	P04-Kuba-scrrec1.mkv	P04-Kuba	911.9	649.4	-	-	-	-	-	-
2182383.5	08:57:03:464	P04-Kuba-scrrec1.mkv	P04-Kuba	913.8	649.9	-	-	-	-	-	-
2182387.4	08:57:03:468	P04-Kuba-scrrec1.mkv	P04-Kuba	917.2	650.3	-	-	-	-	-	-
2182392.0	08:57:03:472	P04-Kuba-scrrec1.mkv	P04-Kuba	914.4	654.2	-	-	-	-	-	-
2182396.2	08:57:03:477	P04-Kuba-scrrec1.mkv	P04-Kuba	912.8	656.0	-	-	-	-	-	-
2182402.0	08:57:03:482	P04-Kuba-scrrec1.mkv	P04-Kuba	911.4	661.7	-	-	-	-	-	-
2182405.7	08:57:03:486	P04-Kuba-scrrec1.mkv	P04-Kuba	905.2	662.2	-	-	-	-	-	-
2182409.2	08:57:03:490	P04-Kuba-scrrec1.mkv	P04-Kuba	902.2	663.2	-	-	-	-	-	-
