Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	1	1.6	51.2	49.6	-	-	1016.5	607.5	1007.6	445.3	3.1	2052.8	2010.5	-4309.5	63.2	128.0	23.0	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	1	51.2	250.7	199.5	1010.0	448.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	2	250.7	292.6	41.9	-	-	1012.6	444.6	891.7	608.4	4.0	6008.5	9126.9	-7876.6	94.9	196.3	39.3	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	2	292.6	458.8	166.3	902.5	593.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	3	458.8	498.3	39.5	-	-	901.6	580.6	803.9	633.3	2.3	3476.6	5040.9	-4740.7	57.5	119.9	58.4	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	3	498.3	951.4	453.0	784.5	654.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	4	951.4	1000.3	48.9	-	-	757.2	668.5	0.0	0.0	34.4	47823.5	74739.1	-99656.1	702.8	2349.6	76.1	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	1	1000.3	1731.0	730.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	4	1857.7	1956.8	99.1	823.2	546.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	3	1890.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	5	1956.8	2002.8	46.1	-	-	824.2	548.2	747.1	535.9	1.8	1584.8	3096.9	-1599.2	38.4	76.1	30.8	-	-	-
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	5	2002.8	2399.9	397.1	742.2	532.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
