Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	1	13.8	41.7	27.9	-	-	931.8	438.1	918.9	669.3	4.0	7286.9	12379.3	-14126.8	143.9	296.5	60.1	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	1	41.7	270.1	228.4	920.6	665.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	2	290.6	605.5	314.9	911.0	654.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	2	605.5	633.1	27.6	-	-	926.1	668.3	876.9	655.9	0.9	1564.3	2222.2	-1958.8	34.1	56.7	46.0	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	3	633.1	737.6	104.5	832.9	652.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	3	737.6	779.6	42.0	-	-	796.2	658.3	795.1	587.2	1.4	1402.7	2919.8	-1802.1	33.4	65.4	38.8	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	4	779.6	915.6	136.0	802.5	562.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	4	915.6	952.7	37.1	-	-	800.9	567.4	1017.7	601.5	4.2	8758.3	13055.0	-12588.8	113.5	277.6	46.1	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	5	952.7	1103.9	151.2	1010.4	581.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	5	1103.9	1133.9	30.0	-	-	1007.0	573.5	912.5	553.8	1.7	3982.9	5529.6	-5329.0	57.2	125.5	44.0	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	6	1133.9	1201.0	67.2	931.6	555.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	6	1201.0	1223.9	22.9	-	-	939.8	564.0	927.9	599.0	0.7	1044.2	1932.0	-1064.3	31.2	47.0	42.4	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	7	1223.9	1330.6	106.6	936.3	588.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	7	1330.6	1368.6	38.0	-	-	935.5	569.9	755.7	562.0	3.5	5225.4	7418.9	-6735.1	91.7	157.9	45.4	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	8	1368.6	1393.0	24.5	-	-	755.7	562.0	787.8	563.9	0.7	1337.6	-105.1	-3546.3	26.9	44.7	54.5	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	8	1393.0	1877.9	484.9	765.7	592.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	3	1524.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	1	1877.9	2025.9	148.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	9	2046.9	2680.7	633.8	844.3	698.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	9	2680.7	2718.2	37.5	-	-	835.7	738.8	837.4	671.7	1.3	1114.1	1916.6	-941.6	34.3	44.4	60.8	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	10	2718.2	2914.7	196.5	840.1	703.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	10	2914.7	2942.2	27.5	-	-	839.3	732.2	844.0	660.2	1.3	2424.3	3479.6	-3317.3	47.2	90.0	49.9	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	11	2998.5	3050.8	52.2	-	-	858.4	730.3	0.0	0.0	34.3	45163.4	72107.2	-91211.0	656.8	2149.6	73.1	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	2	3050.8	3626.7	575.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	4	3262.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	12	3763.0	3786.2	23.2	-	-	770.3	599.5	778.5	632.3	0.6	1124.4	1393.1	-1669.5	27.6	42.8	42.3	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	11	3786.2	3836.8	50.5	777.8	636.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	5	3821.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	13	3836.8	3868.4	31.6	-	-	781.2	636.0	762.5	618.7	1.6	1852.3	3909.2	-2433.0	51.0	97.7	43.8	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	14	3890.0	3915.8	25.8	-	-	729.9	561.1	746.2	598.4	0.7	642.4	314.7	-1667.4	26.6	45.1	53.9	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	12	3915.8	4038.9	123.1	740.6	585.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	15	4038.9	4097.1	58.3	-	-	751.3	605.3	0.0	0.0	44.4	48619.2	80752.4	-116100.0	761.4	2703.7	75.4	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	3	4097.1	4356.3	259.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	13	4453.5	4556.6	103.1	708.7	517.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	6	4461.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	16	4556.6	4596.3	39.7	-	-	714.0	541.0	750.6	577.9	1.3	944.0	1300.1	-1512.5	31.7	45.3	36.0	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	14	4596.3	4774.3	178.1	749.6	592.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	7	4669.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2182053.7	08:57:03:134	P04-Kuba-scrrec1.mkv	P04-Kuba	17	4774.3	4826.9	52.6	-	-	753.4	589.2	0.0	0.0	36.2	44790.7	64922.9	-90279.2	688.0	2137.3	70.2	-	-	-
