RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1728309.2	08:49:29:385	P03-Radek-scrrec1.mkv	P03-Radek	-	-	-	-	-	-	-	p03-radek-scrrec1.mkv
1728312.1	08:49:29:388	P03-Radek-scrrec1.mkv	P03-Radek	1025.9	866.9	-	-	-	-	-	-
1728317.5	08:49:29:393	P03-Radek-scrrec1.mkv	P03-Radek	1026.2	863.8	-	-	-	-	-	-
1728323.0	08:49:29:399	P03-Radek-scrrec1.mkv	P03-Radek	1027.3	864.8	-	-	-	-	-	-
1728327.0	08:49:29:403	P03-Radek-scrrec1.mkv	P03-Radek	1028.4	863.9	-	-	-	-	-	-
1728330.6	08:49:29:406	P03-Radek-scrrec1.mkv	P03-Radek	1030.8	864.0	-	-	-	-	-	-
1728335.9	08:49:29:412	P03-Radek-scrrec1.mkv	P03-Radek	1031.9	862.5	-	-	-	-	-	-
1728341.3	08:49:29:417	P03-Radek-scrrec1.mkv	P03-Radek	1034.3	860.0	-	-	-	-	-	-
1728345.1	08:49:29:421	P03-Radek-scrrec1.mkv	P03-Radek	1036.2	857.9	-	-	-	-	-	-
1728348.9	08:49:29:425	P03-Radek-scrrec1.mkv	P03-Radek	1038.6	859.9	-	-	-	-	-	-
1728354.5	08:49:29:430	P03-Radek-scrrec1.mkv	P03-Radek	1041.4	859.8	-	-	-	-	-	-
1728358.6	08:49:29:434	P03-Radek-scrrec1.mkv	P03-Radek	1043.1	857.9	-	-	-	-	-	-
1728362.5	08:49:29:438	P03-Radek-scrrec1.mkv	P03-Radek	1044.5	854.4	-	-	-	-	-	-
1728366.3	08:49:29:442	P03-Radek-scrrec1.mkv	P03-Radek	1048.2	857.7	-	-	-	-	-	-
1728371.6	08:49:29:447	P03-Radek-scrrec1.mkv	P03-Radek	1050.1	859.6	-	-	-	-	-	-
1728375.6	08:49:29:451	P03-Radek-scrrec1.mkv	P03-Radek	1052.0	864.0	-	-	-	-	-	-
1728381.0	08:49:29:457	P03-Radek-scrrec1.mkv	P03-Radek	1051.6	863.5	-	-	-	-	-	-
1728384.8	08:49:29:461	P03-Radek-scrrec1.mkv	P03-Radek	1053.9	863.3	-	-	-	-	-	-
1728390.1	08:49:29:466	P03-Radek-scrrec1.mkv	P03-Radek	1055.3	860.2	-	-	-	-	-	-
1728395.6	08:49:29:471	P03-Radek-scrrec1.mkv	P03-Radek	1058.0	861.6	-	-	-	-	-	-
1728399.4	08:49:29:475	P03-Radek-scrrec1.mkv	P03-Radek	1057.0	860.5	-	-	-	-	-	-
1728403.0	08:49:29:479	P03-Radek-scrrec1.mkv	P03-Radek	1055.7	862.8	-	-	-	-	-	-
1728406.8	08:49:29:483	P03-Radek-scrrec1.mkv	P03-Radek	1056.2	863.0	-	-	-	-	-	-
1728410.5	08:49:29:486	P03-Radek-scrrec1.mkv	P03-Radek	1049.9	858.4	-	-	-	-	-	-
1728414.5	08:49:29:490	P03-Radek-scrrec1.mkv	P03-Radek	1046.1	855.3	-	-	-	-	-	-
1728418.4	08:49:29:494	P03-Radek-scrrec1.mkv	P03-Radek	1045.9	854.0	-	-	-	-	-	-
1728422.0	08:49:29:498	P03-Radek-scrrec1.mkv	P03-Radek	1039.0	851.8	-	-	-	-	-	-
1728427.3	08:49:29:503	P03-Radek-scrrec1.mkv	P03-Radek	1038.0	848.6	-	-	-	-	-	-
1728431.6	08:49:29:507	P03-Radek-scrrec1.mkv	P03-Radek	1038.3	850.8	-	-	-	-	-	-
1728435.4	08:49:29:511	P03-Radek-scrrec1.mkv	P03-Radek	1037.1	853.7	-	-	-	-	-	-
1728439.2	08:49:29:515	P03-Radek-scrrec1.mkv	P03-Radek	1037.2	854.2	-	-	-	-	-	-
1728444.5	08:49:29:520	P03-Radek-scrrec1.mkv	P03-Radek	1035.3	851.7	-	-	-	-	-	-
1728450.0	08:49:29:526	P03-Radek-scrrec1.mkv	P03-Radek	1035.7	859.4	-	-	-	-	-	-
1728453.8	08:49:29:530	P03-Radek-scrrec1.mkv	P03-Radek	1035.7	862.3	-	-	-	-	-	-
1728457.9	08:49:29:534	P03-Radek-scrrec1.mkv	P03-Radek	1039.1	862.8	-	-	-	-	-	-
1728461.7	08:49:29:538	P03-Radek-scrrec1.mkv	P03-Radek	1042.2	865.6	-	-	-	-	-	-
