RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
2399676.6	09:00:40:760	P05-Olda-scrrec1.mkv	P05-Olda	-	-	-	-	-	-	-	p05-olda-scrrec1.mkv
2399680.1	09:00:40:764	P05-Olda-scrrec1.mkv	P05-Olda	959.2	516.0	-	-	-	-	-	-
2399685.3	09:00:40:769	P05-Olda-scrrec1.mkv	P05-Olda	959.1	517.0	-	-	-	-	-	-
2399688.7	09:00:40:772	P05-Olda-scrrec1.mkv	P05-Olda	959.7	520.7	-	-	-	-	-	-
2399692.5	09:00:40:776	P05-Olda-scrrec1.mkv	P05-Olda	960.1	521.2	-	-	-	-	-	-
2399697.6	09:00:40:781	P05-Olda-scrrec1.mkv	P05-Olda	955.4	520.2	-	-	-	-	-	-
2399702.7	09:00:40:786	P05-Olda-scrrec1.mkv	P05-Olda	959.2	522.5	-	-	-	-	-	-
2399706.6	09:00:40:790	P05-Olda-scrrec1.mkv	P05-Olda	961.6	523.3	-	-	-	-	-	-
2399710.5	09:00:40:794	P05-Olda-scrrec1.mkv	P05-Olda	958.9	523.6	-	-	-	-	-	-
2399716.0	09:00:40:799	P05-Olda-scrrec1.mkv	P05-Olda	960.2	523.3	-	-	-	-	-	-
2399719.5	09:00:40:803	P05-Olda-scrrec1.mkv	P05-Olda	962.1	522.3	-	-	-	-	-	-
2399723.0	09:00:40:806	P05-Olda-scrrec1.mkv	P05-Olda	963.6	524.6	-	-	-	-	-	-
2399726.6	09:00:40:810	P05-Olda-scrrec1.mkv	P05-Olda	961.3	521.8	-	-	-	-	-	-
2399730.6	09:00:40:814	P05-Olda-scrrec1.mkv	P05-Olda	960.9	525.0	-	-	-	-	-	-
2399735.7	09:00:40:819	P05-Olda-scrrec1.mkv	P05-Olda	961.8	518.2	-	-	-	-	-	-
2399739.4	09:00:40:823	P05-Olda-scrrec1.mkv	P05-Olda	961.6	518.5	-	-	-	-	-	-
2399744.2	09:00:40:828	P05-Olda-scrrec1.mkv	P05-Olda	961.9	517.9	-	-	-	-	-	-
2399748.5	09:00:40:832	P05-Olda-scrrec1.mkv	P05-Olda	962.3	515.9	-	-	-	-	-	-
2399753.6	09:00:40:837	P05-Olda-scrrec1.mkv	P05-Olda	962.9	517.8	-	-	-	-	-	-
2399758.7	09:00:40:842	P05-Olda-scrrec1.mkv	P05-Olda	962.0	517.0	-	-	-	-	-	-
2399763.0	09:00:40:846	P05-Olda-scrrec1.mkv	P05-Olda	961.1	517.3	-	-	-	-	-	-
2399766.7	09:00:40:850	P05-Olda-scrrec1.mkv	P05-Olda	960.2	516.9	-	-	-	-	-	-
2399772.0	09:00:40:855	P05-Olda-scrrec1.mkv	P05-Olda	957.8	516.8	-	-	-	-	-	-
2399775.7	09:00:40:859	P05-Olda-scrrec1.mkv	P05-Olda	957.2	517.2	-	-	-	-	-	-
2399779.7	09:00:40:863	P05-Olda-scrrec1.mkv	P05-Olda	958.4	517.4	-	-	-	-	-	-
2399783.7	09:00:40:867	P05-Olda-scrrec1.mkv	P05-Olda	957.1	521.8	-	-	-	-	-	-
2399788.8	09:00:40:872	P05-Olda-scrrec1.mkv	P05-Olda	954.2	522.7	-	-	-	-	-	-
2399792.3	09:00:40:876	P05-Olda-scrrec1.mkv	P05-Olda	956.0	527.0	-	-	-	-	-	-
2399796.3	09:00:40:880	P05-Olda-scrrec1.mkv	P05-Olda	955.4	528.5	-	-	-	-	-	-
2399799.9	09:00:40:883	P05-Olda-scrrec1.mkv	P05-Olda	954.9	530.6	-	-	-	-	-	-
2399803.6	09:00:40:887	P05-Olda-scrrec1.mkv	P05-Olda	954.3	533.4	-	-	-	-	-	-
2399807.2	09:00:40:891	P05-Olda-scrrec1.mkv	P05-Olda	955.6	536.7	-	-	-	-	-	-
2399810.8	09:00:40:894	P05-Olda-scrrec1.mkv	P05-Olda	954.5	538.8	-	-	-	-	-	-
2399814.6	09:00:40:898	P05-Olda-scrrec1.mkv	P05-Olda	954.8	542.4	-	-	-	-	-	-
2399819.6	09:00:40:903	P05-Olda-scrrec1.mkv	P05-Olda	956.6	546.7	-	-	-	-	-	-
2399825.0	09:00:40:908	P05-Olda-scrrec1.mkv	P05-Olda	958.2	548.1	-	-	-	-	-	-
2399829.0	09:00:40:912	P05-Olda-scrrec1.mkv	P05-Olda	960.3	546.1	-	-	-	-	-	-
2399832.6	09:00:40:916	P05-Olda-scrrec1.mkv	P05-Olda	963.2	548.5	-	-	-	-	-	-
2399836.2	09:00:40:920	P05-Olda-scrrec1.mkv	P05-Olda	965.0	548.4	-	-	-	-	-	-
2399841.5	09:00:40:925	P05-Olda-scrrec1.mkv	P05-Olda	967.0	548.2	-	-	-	-	-	-
2399845.1	09:00:40:929	P05-Olda-scrrec1.mkv	P05-Olda	969.6	548.9	-	-	-	-	-	-
2399848.8	09:00:40:932	P05-Olda-scrrec1.mkv	P05-Olda	970.4	549.2	-	-	-	-	-	-
2399852.4	09:00:40:936	P05-Olda-scrrec1.mkv	P05-Olda	970.4	550.1	-	-	-	-	-	-
2399857.7	09:00:40:941	P05-Olda-scrrec1.mkv	P05-Olda	972.5	550.7	-	-	-	-	-	-
2399861.4	09:00:40:945	P05-Olda-scrrec1.mkv	P05-Olda	970.2	547.6	-	-	-	-	-	-
2399865.1	09:00:40:949	P05-Olda-scrrec1.mkv	P05-Olda	973.0	544.8	-	-	-	-	-	-
2399870.2	09:00:40:954	P05-Olda-scrrec1.mkv	P05-Olda	973.4	543.8	-	-	-	-	-	-
2399875.4	09:00:40:959	P05-Olda-scrrec1.mkv	P05-Olda	983.1	554.3	-	-	-	-	-	-
2399879.8	09:00:40:963	P05-Olda-scrrec1.mkv	P05-Olda	1053.3	580.4	-	-	-	-	-	-
2399883.7	09:00:40:967	P05-Olda-scrrec1.mkv	P05-Olda	1090.4	646.8	-	-	-	-	-	-
2399887.3	09:00:40:971	P05-Olda-scrrec1.mkv	P05-Olda	1099.5	640.1	-	-	-	-	-	-
2399892.4	09:00:40:976	P05-Olda-scrrec1.mkv	P05-Olda	1099.7	659.6	-	-	-	-	-	-
2399896.4	09:00:40:980	P05-Olda-scrrec1.mkv	P05-Olda	1106.8	680.8	-	-	-	-	-	-
2399901.5	09:00:40:985	P05-Olda-scrrec1.mkv	P05-Olda	1104.3	683.0	-	-	-	-	-	-
2399905.0	09:00:40:988	P05-Olda-scrrec1.mkv	P05-Olda	1104.6	692.2	-	-	-	-	-	-
2399908.6	09:00:40:992	P05-Olda-scrrec1.mkv	P05-Olda	1103.9	685.5	-	-	-	-	-	-
2399912.2	09:00:40:996	P05-Olda-scrrec1.mkv	P05-Olda	1106.1	690.6	-	-	-	-	-	-
2399916.2	09:00:41:000	P05-Olda-scrrec1.mkv	P05-Olda	1107.7	693.8	-	-	-	-	-	-
2399919.7	09:00:41:003	P05-Olda-scrrec1.mkv	P05-Olda	1108.7	696.9	-	-	-	-	-	-
2399923.2	09:00:41:007	P05-Olda-scrrec1.mkv	P05-Olda	1111.1	701.6	-	-	-	-	-	-
2399929.0	09:00:41:012	P05-Olda-scrrec1.mkv	P05-Olda	1113.5	703.0	-	-	-	-	-	-
2399934.3	09:00:41:018	P05-Olda-scrrec1.mkv	P05-Olda	1113.2	705.4	-	-	-	-	-	-
2399937.9	09:00:41:021	P05-Olda-scrrec1.mkv	P05-Olda	1120.5	702.2	-	-	-	-	-	-
2399941.4	09:00:41:025	P05-Olda-scrrec1.mkv	P05-Olda	1132.3	700.6	-	-	-	-	-	-
2399945.3	09:00:41:029	P05-Olda-scrrec1.mkv	P05-Olda	1134.9	701.0	-	-	-	-	-	-
2399950.3	09:00:41:034	P05-Olda-scrrec1.mkv	P05-Olda	1129.0	700.3	-	-	-	-	-	-
2399954.1	09:00:41:038	P05-Olda-scrrec1.mkv	P05-Olda	1134.0	698.9	-	-	-	-	-	-
2399957.7	09:00:41:041	P05-Olda-scrrec1.mkv	P05-Olda	1131.7	697.6	-	-	-	-	-	-
2399963.0	09:00:41:046	P05-Olda-scrrec1.mkv	P05-Olda	1129.3	697.4	-	-	-	-	-	-
2399966.8	09:00:41:050	P05-Olda-scrrec1.mkv	P05-Olda	1132.4	694.2	-	-	-	-	-	-
2399970.5	09:00:41:054	P05-Olda-scrrec1.mkv	P05-Olda	1129.9	690.8	-	-	-	-	-	-
2399974.6	09:00:41:058	P05-Olda-scrrec1.mkv	P05-Olda	1126.2	687.1	-	-	-	-	-	-
2399979.9	09:00:41:063	P05-Olda-scrrec1.mkv	P05-Olda	1125.4	687.1	-	-	-	-	-	-
2399983.8	09:00:41:067	P05-Olda-scrrec1.mkv	P05-Olda	1128.9	688.0	-	-	-	-	-	-
2399987.4	09:00:41:071	P05-Olda-scrrec1.mkv	P05-Olda	1127.3	688.4	-	-	-	-	-	-
2399990.9	09:00:41:074	P05-Olda-scrrec1.mkv	P05-Olda	1125.3	690.2	-	-	-	-	-	-
2399996.4	09:00:41:080	P05-Olda-scrrec1.mkv	P05-Olda	1118.8	691.7	-	-	-	-	-	-
2400001.8	09:00:41:085	P05-Olda-scrrec1.mkv	P05-Olda	1118.3	690.7	-	-	-	-	-	-
2400005.3	09:00:41:089	P05-Olda-scrrec1.mkv	P05-Olda	1115.8	691.6	-	-	-	-	-	-
2400008.9	09:00:41:092	P05-Olda-scrrec1.mkv	P05-Olda	1114.1	694.6	-	-	-	-	-	-
2400014.7	09:00:41:098	P05-Olda-scrrec1.mkv	P05-Olda	1111.0	694.5	-	-	-	-	-	-
2400019.8	09:00:41:103	P05-Olda-scrrec1.mkv	P05-Olda	1109.7	696.9	-	-	-	-	-	-
2400023.4	09:00:41:107	P05-Olda-scrrec1.mkv	P05-Olda	1108.8	697.7	-	-	-	-	-	-
