RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1410419.0	08:44:11:491	P02-Terka-scrrec1.mkv	P02-Terka	-	-	-	-	-	-	-	p02-terka-scrrec1.mkv
1410420.7	08:44:11:493	P02-Terka-scrrec1.mkv	P02-Terka	1016.5	607.5	-	-	-	-	-	-
1410424.3	08:44:11:496	P02-Terka-scrrec1.mkv	P02-Terka	1016.7	607.0	-	-	-	-	-	-
1410428.2	08:44:11:500	P02-Terka-scrrec1.mkv	P02-Terka	1017.4	593.6	-	-	-	-	-	-
1410432.1	08:44:11:504	P02-Terka-scrrec1.mkv	P02-Terka	1016.1	539.1	-	-	-	-	-	-
1410436.1	08:44:11:508	P02-Terka-scrrec1.mkv	P02-Terka	1015.8	543.4	-	-	-	-	-	-
1410441.6	08:44:11:514	P02-Terka-scrrec1.mkv	P02-Terka	1014.9	497.7	-	-	-	-	-	-
1410447.4	08:44:11:519	P02-Terka-scrrec1.mkv	P02-Terka	1013.3	484.0	-	-	-	-	-	-
1410451.1	08:44:11:523	P02-Terka-scrrec1.mkv	P02-Terka	1010.5	473.3	-	-	-	-	-	-
1410454.9	08:44:11:527	P02-Terka-scrrec1.mkv	P02-Terka	1010.2	463.7	-	-	-	-	-	-
1410460.5	08:44:11:532	P02-Terka-scrrec1.mkv	P02-Terka	1010.1	457.1	-	-	-	-	-	-
1410466.2	08:44:11:538	P02-Terka-scrrec1.mkv	P02-Terka	1008.4	449.5	-	-	-	-	-	-
1410470.2	08:44:11:542	P02-Terka-scrrec1.mkv	P02-Terka	1007.6	445.3	-	-	-	-	-	-
1410475.8	08:44:11:548	P02-Terka-scrrec1.mkv	P02-Terka	1008.0	445.7	-	-	-	-	-	-
1410479.6	08:44:11:552	P02-Terka-scrrec1.mkv	P02-Terka	1006.4	446.9	-	-	-	-	-	-
1410483.5	08:44:11:555	P02-Terka-scrrec1.mkv	P02-Terka	1006.2	442.2	-	-	-	-	-	-
1410487.2	08:44:11:559	P02-Terka-scrrec1.mkv	P02-Terka	1005.0	442.5	-	-	-	-	-	-
1410491.0	08:44:11:563	P02-Terka-scrrec1.mkv	P02-Terka	1004.3	442.7	-	-	-	-	-	-
1410494.7	08:44:11:567	P02-Terka-scrrec1.mkv	P02-Terka	1003.2	441.2	-	-	-	-	-	-
1410498.5	08:44:11:571	P02-Terka-scrrec1.mkv	P02-Terka	1003.5	441.4	-	-	-	-	-	-
1410502.5	08:44:11:574	P02-Terka-scrrec1.mkv	P02-Terka	1002.6	440.6	-	-	-	-	-	-
1410506.3	08:44:11:578	P02-Terka-scrrec1.mkv	P02-Terka	1002.1	441.4	-	-	-	-	-	-
1410511.8	08:44:11:584	P02-Terka-scrrec1.mkv	P02-Terka	1001.1	443.8	-	-	-	-	-	-
1410517.6	08:44:11:590	P02-Terka-scrrec1.mkv	P02-Terka	1000.9	443.5	-	-	-	-	-	-
1410521.4	08:44:11:593	P02-Terka-scrrec1.mkv	P02-Terka	1001.1	446.4	-	-	-	-	-	-
1410526.8	08:44:11:599	P02-Terka-scrrec1.mkv	P02-Terka	1001.4	446.9	-	-	-	-	-	-
1410532.4	08:44:11:604	P02-Terka-scrrec1.mkv	P02-Terka	1002.9	448.8	-	-	-	-	-	-
1410536.2	08:44:11:608	P02-Terka-scrrec1.mkv	P02-Terka	1003.0	450.6	-	-	-	-	-	-
1410539.9	08:44:11:612	P02-Terka-scrrec1.mkv	P02-Terka	1002.6	451.4	-	-	-	-	-	-
1410545.5	08:44:11:618	P02-Terka-scrrec1.mkv	P02-Terka	1005.9	452.1	-	-	-	-	-	-
1410549.2	08:44:11:621	P02-Terka-scrrec1.mkv	P02-Terka	1006.0	453.3	-	-	-	-	-	-
1410553.0	08:44:11:625	P02-Terka-scrrec1.mkv	P02-Terka	1008.1	453.9	-	-	-	-	-	-
1410556.8	08:44:11:629	P02-Terka-scrrec1.mkv	P02-Terka	1008.2	453.1	-	-	-	-	-	-
1410560.8	08:44:11:633	P02-Terka-scrrec1.mkv	P02-Terka	1008.9	452.5	-	-	-	-	-	-
1410566.1	08:44:11:638	P02-Terka-scrrec1.mkv	P02-Terka	1010.4	453.5	-	-	-	-	-	-
1410570.1	08:44:11:642	P02-Terka-scrrec1.mkv	P02-Terka	1011.1	452.5	-	-	-	-	-	-
1410575.5	08:44:11:647	P02-Terka-scrrec1.mkv	P02-Terka	1010.6	451.8	-	-	-	-	-	-
1410581.2	08:44:11:653	P02-Terka-scrrec1.mkv	P02-Terka	1011.4	451.7	-	-	-	-	-	-
1410586.6	08:44:11:659	P02-Terka-scrrec1.mkv	P02-Terka	1012.0	451.0	-	-	-	-	-	-
1410590.3	08:44:11:662	P02-Terka-scrrec1.mkv	P02-Terka	1013.3	450.8	-	-	-	-	-	-
1410594.1	08:44:11:666	P02-Terka-scrrec1.mkv	P02-Terka	1012.4	451.8	-	-	-	-	-	-
1410599.5	08:44:11:671	P02-Terka-scrrec1.mkv	P02-Terka	1014.4	450.0	-	-	-	-	-	-
1410603.1	08:44:11:675	P02-Terka-scrrec1.mkv	P02-Terka	1014.3	450.4	-	-	-	-	-	-
1410607.0	08:44:11:679	P02-Terka-scrrec1.mkv	P02-Terka	1015.0	451.0	-	-	-	-	-	-
1410610.7	08:44:11:683	P02-Terka-scrrec1.mkv	P02-Terka	1015.7	451.9	-	-	-	-	-	-
1410614.3	08:44:11:686	P02-Terka-scrrec1.mkv	P02-Terka	1016.3	450.8	-	-	-	-	-	-
1410617.9	08:44:11:690	P02-Terka-scrrec1.mkv	P02-Terka	1016.5	450.0	-	-	-	-	-	-
1410623.9	08:44:11:696	P02-Terka-scrrec1.mkv	P02-Terka	1017.8	452.1	-	-	-	-	-	-
1410627.5	08:44:11:699	P02-Terka-scrrec1.mkv	P02-Terka	1018.5	451.7	-	-	-	-	-	-
1410633.0	08:44:11:705	P02-Terka-scrrec1.mkv	P02-Terka	1018.5	449.9	-	-	-	-	-	-
1410638.4	08:44:11:710	P02-Terka-scrrec1.mkv	P02-Terka	1020.2	449.4	-	-	-	-	-	-
1410642.2	08:44:11:714	P02-Terka-scrrec1.mkv	P02-Terka	1019.7	447.8	-	-	-	-	-	-
1410645.9	08:44:11:718	P02-Terka-scrrec1.mkv	P02-Terka	1018.3	448.2	-	-	-	-	-	-
1410651.3	08:44:11:723	P02-Terka-scrrec1.mkv	P02-Terka	1017.4	446.8	-	-	-	-	-	-
1410656.5	08:44:11:729	P02-Terka-scrrec1.mkv	P02-Terka	1017.1	446.6	-	-	-	-	-	-
1410660.3	08:44:11:732	P02-Terka-scrrec1.mkv	P02-Terka	1016.1	444.6	-	-	-	-	-	-
1410664.2	08:44:11:736	P02-Terka-scrrec1.mkv	P02-Terka	1014.4	444.2	-	-	-	-	-	-
1410669.7	08:44:11:742	P02-Terka-scrrec1.mkv	P02-Terka	1012.6	444.6	-	-	-	-	-	-
1410673.2	08:44:11:745	P02-Terka-scrrec1.mkv	P02-Terka	1010.9	444.4	-	-	-	-	-	-
1410676.9	08:44:11:749	P02-Terka-scrrec1.mkv	P02-Terka	1006.3	451.6	-	-	-	-	-	-
1410680.8	08:44:11:753	P02-Terka-scrrec1.mkv	P02-Terka	987.6	517.6	-	-	-	-	-	-
1410686.2	08:44:11:758	P02-Terka-scrrec1.mkv	P02-Terka	954.3	546.6	-	-	-	-	-	-
1410690.0	08:44:11:762	P02-Terka-scrrec1.mkv	P02-Terka	923.0	557.1	-	-	-	-	-	-
1410693.8	08:44:11:766	P02-Terka-scrrec1.mkv	P02-Terka	895.8	571.2	-	-	-	-	-	-
1410697.5	08:44:11:770	P02-Terka-scrrec1.mkv	P02-Terka	900.6	590.6	-	-	-	-	-	-
1410702.9	08:44:11:775	P02-Terka-scrrec1.mkv	P02-Terka	893.4	599.5	-	-	-	-	-	-
1410708.0	08:44:11:780	P02-Terka-scrrec1.mkv	P02-Terka	893.3	605.4	-	-	-	-	-	-
1410711.6	08:44:11:784	P02-Terka-scrrec1.mkv	P02-Terka	891.7	608.4	-	-	-	-	-	-
1410715.3	08:44:11:787	P02-Terka-scrrec1.mkv	P02-Terka	892.6	606.5	-	-	-	-	-	-
1410720.5	08:44:11:792	P02-Terka-scrrec1.mkv	P02-Terka	894.7	610.1	-	-	-	-	-	-
1410724.2	08:44:11:796	P02-Terka-scrrec1.mkv	P02-Terka	895.5	611.8	-	-	-	-	-	-
1410728.0	08:44:11:800	P02-Terka-scrrec1.mkv	P02-Terka	893.1	608.7	-	-	-	-	-	-
1410731.5	08:44:11:804	P02-Terka-scrrec1.mkv	P02-Terka	891.8	608.9	-	-	-	-	-	-
1410736.9	08:44:11:809	P02-Terka-scrrec1.mkv	P02-Terka	892.3	612.6	-	-	-	-	-	-
1410740.8	08:44:11:813	P02-Terka-scrrec1.mkv	P02-Terka	893.8	612.7	-	-	-	-	-	-
1410744.8	08:44:11:817	P02-Terka-scrrec1.mkv	P02-Terka	894.6	610.1	-	-	-	-	-	-
1410748.8	08:44:11:821	P02-Terka-scrrec1.mkv	P02-Terka	897.7	607.0	-	-	-	-	-	-
